SceneId,Method,Best,Mean,Std,Worst,Median,FeasRatio,AvgTime,Rank
1,Base-AE,544.665962485616,2360.48509370906,4377.76579370669,20514.5328331371,1200.99265330381,0.55,4.489489965,5
1,AE+Init,685.51435924628,703.551000426782,8.05828501852863,720.557547911386,704.612392720763,1,4.45521665,2
1,AE+Init+AOS,733.556600188323,756.149837962392,9.93239704337258,767.161561836251,756.293010174979,1,4.542102895,4
1,AE+Init+AOS+Repair,677.865761297734,725.417536162903,20.512643449771,757.306338204882,727.380983331979,1,38.57921586,3
1,FAE-AE,634.636750541684,683.120288678644,27.1156079056561,751.455165310626,678.619977094677,1,42.77095566,1
2,Base-AE,1068.64119607194,3201.36285648711,2170.13918474671,9358.58905104492,2213.59531348324,0,4.39247464,5
2,AE+Init,1972.6809245459,2846.50412851175,1262.21089182298,7645.28578091973,2513.77033321766,0.05,4.33259649,4
2,AE+Init+AOS,1339.89662261905,2448.45838865187,1328.67330476191,6935.03585008378,2154.50391208838,0.15,4.41016787,3
2,AE+Init+AOS+Repair,899.166747597734,1100.98012226134,145.299373962859,1438.55844714312,1068.69881937037,1,46.869579325,2
2,FAE-AE,671.906777157574,871.561462602837,182.000310398844,1264.12092800659,796.535419554655,1,47.19378825,1
4,Base-AE,1671.11819283774,2669.03448016193,1455.18486908918,7214.54400460619,2169.76995702653,0,7.73757876,3
4,AE+Init,1611.59417614233,13445.6062786384,19249.8293355065,61800.3916249275,1983.49481418593,0.25,7.74096192,4
4,AE+Init+AOS,2049.66525358903,16682.9602018865,20801.4901407857,61800.3916249275,2904.40822700741,0.3,7.796372385,5
4,AE+Init+AOS+Repair,1285.60592501961,1657.20525595242,340.504133055208,2617.06879712071,1566.3738489766,1,95.60650144,2
4,FAE-AE,1238.4928982285,1384.93199209032,138.874185852059,1773.99454089093,1344.61828396602,1,96.14443414,1
