Function,Statistic,AE,PSO,GWO,HHO,WOA,FAEAE
F1,Mean ± Std,7.9507e+06 ± 7.4489e+05,8.7767e+08 ± 1.5170e+09,1.2818e+10 ± 1.5858e+09,1.3293e+07 ± 5.2016e+06,2.2101e+10 ± 7.7255e+09,9.2927e+07 ± 1.0515e+07
F1,Rank,1.0000,4.0000,5.0000,2.0000,6.0000,3.0000
F3,Mean ± Std,3.1655e+02 ± 2.0401e+00,3.0000e+02 ± 3.9110e-12,9.1369e+04 ± 3.4587e+03,7.8280e+03 ± 2.6796e+03,9.7285e+04 ± 2.0216e+04,5.3643e+02 ± 3.6659e+01
F3,Rank,2.0000,1.0000,5.0000,4.0000,6.0000,3.0000
F4,Mean ± Std,4.8598e+02 ± 2.9423e+01,7.5008e+02 ± 4.9144e+02,1.1818e+03 ± 2.0330e+02,5.1166e+02 ± 2.6281e+01,4.9769e+03 ± 2.3820e+03,5.0544e+02 ± 2.4000e+01
F4,Rank,1.0000,4.0000,5.0000,3.0000,6.0000,2.0000
F5,Mean ± Std,6.7511e+02 ± 2.6385e+01,6.2442e+02 ± 3.3509e+01,8.3149e+02 ± 2.4517e+01,6.5956e+02 ± 3.2500e+01,8.6701e+02 ± 4.1268e+01,6.1118e+02 ± 1.3633e+01
F5,Rank,4.0000,2.0000,5.0000,3.0000,6.0000,1.0000
F6,Mean ± Std,6.5123e+02 ± 6.9575e+00,6.2127e+02 ± 1.0286e+01,6.5136e+02 ± 7.8131e+00,6.3146e+02 ± 8.4001e+00,6.7874e+02 ± 1.0324e+01,6.0446e+02 ± 7.7992e-01
F6,Rank,4.0000,2.0000,5.0000,3.0000,6.0000,1.0000
F7,Mean ± Std,8.9402e+02 ± 2.3681e+01,8.4440e+02 ± 3.7801e+01,1.0850e+03 ± 2.8180e+01,9.0981e+02 ± 3.6044e+01,1.3644e+03 ± 6.7072e+01,8.9429e+02 ± 1.0969e+01
F7,Rank,2.0000,1.0000,5.0000,4.0000,6.0000,3.0000
F8,Mean ± Std,9.2925e+02 ± 1.7728e+01,9.1421e+02 ± 2.5419e+01,1.0319e+03 ± 2.2554e+01,9.4014e+02 ± 2.2101e+01,1.0815e+03 ± 4.0011e+01,9.0304e+02 ± 1.1573e+01
F8,Rank,3.0000,2.0000,5.0000,4.0000,6.0000,1.0000
F9,Mean ± Std,6.5303e+03 ± 1.3167e+03,2.7332e+03 ± 1.1428e+03,6.4782e+03 ± 2.2310e+03,2.5027e+03 ± 7.9049e+02,8.4772e+03 ± 1.6055e+03,9.2746e+02 ± 4.5263e+00
F9,Rank,5.0000,3.0000,4.0000,2.0000,6.0000,1.0000
F10,Mean ± Std,4.2276e+03 ± 6.5738e+02,4.7973e+03 ± 5.4619e+02,7.2145e+03 ± 4.3921e+02,4.6924e+03 ± 4.7258e+02,7.8101e+03 ± 6.7327e+02,4.5278e+03 ± 3.7469e+02
F10,Rank,1.0000,4.0000,5.0000,3.0000,6.0000,2.0000
F11,Mean ± Std,1.2271e+03 ± 3.9756e+01,1.2592e+03 ± 8.1027e+01,1.0655e+04 ± 2.3425e+02,1.2738e+03 ± 4.4580e+01,6.5036e+03 ± 1.9362e+03,1.2382e+03 ± 3.1533e+01
F11,Rank,1.0000,3.0000,6.0000,4.0000,5.0000,2.0000
F12,Mean ± Std,4.9059e+06 ± 1.9429e+06,3.8273e+07 ± 1.2245e+08,1.1084e+09 ± 4.4966e+08,1.4091e+07 ± 1.0357e+07,1.9598e+09 ± 1.0333e+09,1.6772e+07 ± 4.2475e+06
F12,Rank,1.0000,4.0000,5.0000,2.0000,6.0000,3.0000
F13,Mean ± Std,5.2317e+05 ± 1.3511e+05,5.6964e+06 ± 1.8026e+07,6.1403e+08 ± 3.9141e+08,1.9331e+05 ± 8.9274e+04,1.8916e+08 ± 2.4528e+08,4.5956e+06 ± 1.2690e+06
F13,Rank,2.0000,4.0000,6.0000,1.0000,5.0000,3.0000
F14,Mean ± Std,4.9146e+03 ± 3.0887e+03,2.0144e+04 ± 4.8785e+04,1.7849e+06 ± 6.1339e+05,4.6890e+04 ± 3.1168e+04,1.8617e+06 ± 1.8699e+06,6.1941e+03 ± 3.4821e+03
F14,Rank,1.0000,3.0000,5.0000,4.0000,6.0000,2.0000
F15,Mean ± Std,8.0711e+04 ± 2.4862e+04,1.5076e+04 ± 1.4591e+04,3.2428e+07 ± 5.9059e+07,5.0876e+04 ± 4.3829e+04,5.4107e+07 ± 1.3124e+08,4.7425e+05 ± 2.1416e+05
F15,Rank,3.0000,1.0000,5.0000,2.0000,6.0000,4.0000
