[2026-03-20 20:52:13] Starting new batch: results_cec2017_ablation_formal_high\cec_ablation_batch_results.mat
[2026-03-20 20:52:13] Entering block: F1 | Base-AE
[2026-03-20 20:52:19] DONE: F1 | Base-AE | run 1 | best=9.349966e+06 | time=6.023s
[2026-03-20 20:52:25] DONE: F1 | Base-AE | run 2 | best=8.358524e+06 | time=5.878s
[2026-03-20 20:52:32] DONE: F1 | Base-AE | run 3 | best=8.864042e+06 | time=6.001s
[2026-03-20 20:52:38] DONE: F1 | Base-AE | run 4 | best=6.420017e+06 | time=5.939s
[2026-03-20 20:52:44] DONE: F1 | Base-AE | run 5 | best=8.893044e+06 | time=5.869s
[2026-03-20 20:52:50] DONE: F1 | Base-AE | run 6 | best=7.845668e+06 | time=5.897s
[2026-03-20 20:52:56] DONE: F1 | Base-AE | run 7 | best=9.580769e+06 | time=5.885s
[2026-03-20 20:53:02] DONE: F1 | Base-AE | run 8 | best=8.596405e+06 | time=5.800s
[2026-03-20 20:53:08] DONE: F1 | Base-AE | run 9 | best=8.445568e+06 | time=5.821s
[2026-03-20 20:53:13] DONE: F1 | Base-AE | run 10 | best=8.177967e+06 | time=5.766s
[2026-03-20 20:53:19] DONE: F1 | Base-AE | run 11 | best=7.582762e+06 | time=5.746s
[2026-03-20 20:53:25] DONE: F1 | Base-AE | run 12 | best=7.181654e+06 | time=5.717s
[2026-03-20 20:53:31] DONE: F1 | Base-AE | run 13 | best=7.237391e+06 | time=5.806s
[2026-03-20 20:53:37] DONE: F1 | Base-AE | run 14 | best=8.648703e+06 | time=5.826s
[2026-03-20 20:53:43] DONE: F1 | Base-AE | run 15 | best=7.170213e+06 | time=5.689s
[2026-03-20 20:53:49] DONE: F1 | Base-AE | run 16 | best=8.853149e+06 | time=5.847s
[2026-03-20 20:53:55] DONE: F1 | Base-AE | run 17 | best=7.951176e+06 | time=5.812s
[2026-03-20 20:54:01] DONE: F1 | Base-AE | run 18 | best=7.484571e+06 | time=5.791s
[2026-03-20 20:54:06] DONE: F1 | Base-AE | run 19 | best=7.628484e+06 | time=5.743s
[2026-03-20 20:54:12] DONE: F1 | Base-AE | run 20 | best=7.025158e+06 | time=5.777s
[2026-03-20 20:54:18] DONE: F1 | Base-AE | run 21 | best=7.416725e+06 | time=5.821s
[2026-03-20 20:54:24] DONE: F1 | Base-AE | run 22 | best=6.870791e+06 | time=5.813s
[2026-03-20 20:54:30] DONE: F1 | Base-AE | run 23 | best=7.816119e+06 | time=5.700s
[2026-03-20 20:54:36] DONE: F1 | Base-AE | run 24 | best=8.029296e+06 | time=5.723s
[2026-03-20 20:54:42] DONE: F1 | Base-AE | run 25 | best=7.341595e+06 | time=5.799s
[2026-03-20 20:54:48] DONE: F1 | Base-AE | run 26 | best=8.080633e+06 | time=5.787s
[2026-03-20 20:54:53] DONE: F1 | Base-AE | run 27 | best=8.244925e+06 | time=5.780s
[2026-03-20 20:54:59] DONE: F1 | Base-AE | run 28 | best=8.104882e+06 | time=5.770s
[2026-03-20 20:55:05] DONE: F1 | Base-AE | run 29 | best=7.825224e+06 | time=5.835s
[2026-03-20 20:55:11] DONE: F1 | Base-AE | run 30 | best=7.496769e+06 | time=5.743s
[2026-03-20 20:55:11] Block finished: F1 | Base-AE | done=30 | failed=0
[2026-03-20 20:55:11] Entering block: F1 | AE+Init
[2026-03-20 20:55:17] DONE: F1 | AE+Init | run 1 | best=2.529014e+06 | time=5.864s
[2026-03-20 20:55:23] DONE: F1 | AE+Init | run 2 | best=2.003732e+06 | time=5.975s
[2026-03-20 20:55:29] DONE: F1 | AE+Init | run 3 | best=2.104241e+06 | time=5.893s
[2026-03-20 20:55:35] DONE: F1 | AE+Init | run 4 | best=1.854382e+06 | time=5.856s
[2026-03-20 20:55:41] DONE: F1 | AE+Init | run 5 | best=2.036948e+06 | time=5.814s
[2026-03-20 20:55:47] DONE: F1 | AE+Init | run 6 | best=2.300058e+06 | time=5.896s
[2026-03-20 20:55:53] DONE: F1 | AE+Init | run 7 | best=2.821451e+06 | time=5.886s
[2026-03-20 20:55:59] DONE: F1 | AE+Init | run 8 | best=2.162933e+06 | time=5.928s
[2026-03-20 20:56:05] DONE: F1 | AE+Init | run 9 | best=2.364188e+06 | time=5.840s
[2026-03-20 20:56:11] DONE: F1 | AE+Init | run 10 | best=2.795479e+06 | time=5.843s
[2026-03-20 20:56:17] DONE: F1 | AE+Init | run 11 | best=2.309621e+06 | time=5.969s
[2026-03-20 20:56:23] DONE: F1 | AE+Init | run 12 | best=2.374374e+06 | time=5.843s
[2026-03-20 20:56:29] DONE: F1 | AE+Init | run 13 | best=2.089946e+06 | time=5.936s
[2026-03-20 20:56:35] DONE: F1 | AE+Init | run 14 | best=2.203182e+06 | time=5.933s
[2026-03-20 20:56:41] DONE: F1 | AE+Init | run 15 | best=2.237370e+06 | time=5.896s
[2026-03-20 22:35:05] Resuming existing batch: results_cec2017_ablation_formal_high\cec_ablation_batch_results.mat
[2026-03-20 22:35:05] Entering block: F1 | Base-AE
[2026-03-20 22:35:05] Block finished: F1 | Base-AE | done=30 | failed=0
[2026-03-20 22:35:05] Entering block: F1 | AE+Init
[2026-03-20 22:35:11] DONE: F1 | AE+Init | run 16 | best=2.428361e+06 | time=6.176s
