[2026-03-13 10:13:27] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_cec2017_formal\cec2017_batch_results.mat
[2026-03-13 10:13:27] Entering block: F1 | AE
[2026-03-13 10:13:28] DONE: F1 | AE | run 1 | best=8.506449e+06 | time=0.570s
[2026-03-13 10:13:28] DONE: F1 | AE | run 2 | best=1.031513e+07 | time=0.581s
[2026-03-13 10:13:29] DONE: F1 | AE | run 3 | best=1.135481e+07 | time=0.585s
[2026-03-13 10:13:30] DONE: F1 | AE | run 4 | best=9.118272e+06 | time=0.581s
[2026-03-13 10:13:30] DONE: F1 | AE | run 5 | best=9.944250e+06 | time=0.579s
[2026-03-13 10:13:31] DONE: F1 | AE | run 6 | best=1.120760e+07 | time=0.576s
[2026-03-13 10:13:32] DONE: F1 | AE | run 7 | best=1.143751e+07 | time=0.566s
[2026-03-13 10:13:33] DONE: F1 | AE | run 8 | best=9.241158e+06 | time=0.584s
[2026-03-13 10:13:33] DONE: F1 | AE | run 9 | best=7.003083e+06 | time=0.572s
[2026-03-13 10:13:34] DONE: F1 | AE | run 10 | best=1.057216e+07 | time=0.578s
[2026-03-13 10:13:35] DONE: F1 | AE | run 11 | best=9.173916e+06 | time=0.584s
[2026-03-13 10:13:35] DONE: F1 | AE | run 12 | best=8.639845e+06 | time=0.577s
[2026-03-13 10:13:36] DONE: F1 | AE | run 13 | best=1.061790e+07 | time=0.573s
[2026-03-13 10:13:37] DONE: F1 | AE | run 14 | best=1.093474e+07 | time=0.577s
[2026-03-13 10:13:38] DONE: F1 | AE | run 15 | best=9.253003e+06 | time=0.607s
[2026-03-13 10:13:38] DONE: F1 | AE | run 16 | best=8.944164e+06 | time=0.611s
[2026-03-13 10:13:39] DONE: F1 | AE | run 17 | best=1.097837e+07 | time=0.596s
[2026-03-13 10:13:40] DONE: F1 | AE | run 18 | best=1.154814e+07 | time=0.610s
[2026-03-13 10:13:40] DONE: F1 | AE | run 19 | best=1.188095e+07 | time=0.575s
[2026-03-13 10:13:41] DONE: F1 | AE | run 20 | best=1.064470e+07 | time=0.576s
[2026-03-13 10:13:42] DONE: F1 | AE | run 21 | best=1.112300e+07 | time=0.575s
[2026-03-13 10:13:43] DONE: F1 | AE | run 22 | best=1.128861e+07 | time=0.581s
[2026-03-13 10:13:43] DONE: F1 | AE | run 23 | best=1.137695e+07 | time=0.576s
[2026-03-13 10:13:44] DONE: F1 | AE | run 24 | best=8.435090e+06 | time=0.580s
[2026-03-13 10:13:45] DONE: F1 | AE | run 25 | best=9.084861e+06 | time=0.571s
[2026-03-13 10:13:45] DONE: F1 | AE | run 26 | best=1.196138e+07 | time=0.577s
[2026-03-13 10:13:46] DONE: F1 | AE | run 27 | best=9.854652e+06 | time=0.593s
[2026-03-13 10:13:47] DONE: F1 | AE | run 28 | best=9.657941e+06 | time=0.580s
[2026-03-13 10:13:47] DONE: F1 | AE | run 29 | best=1.147729e+07 | time=0.576s
[2026-03-13 10:13:48] DONE: F1 | AE | run 30 | best=1.044766e+07 | time=0.599s
[2026-03-13 10:13:48] Block finished: F1 | AE | done=30 | failed=0
[2026-03-13 10:13:48] Entering block: F1 | DE
[2026-03-13 10:13:48] DONE: F1 | DE | run 1 | best=1.798771e+02 | time=0.134s
[2026-03-13 10:13:49] DONE: F1 | DE | run 2 | best=1.429898e+06 | time=0.128s
[2026-03-13 10:13:49] DONE: F1 | DE | run 3 | best=2.030243e+05 | time=0.129s
[2026-03-13 10:13:49] DONE: F1 | DE | run 4 | best=5.484317e+07 | time=0.128s
[2026-03-13 10:13:50] DONE: F1 | DE | run 5 | best=3.262043e+04 | time=0.129s
[2026-03-13 10:13:50] DONE: F1 | DE | run 6 | best=1.386351e+04 | time=0.128s
[2026-03-13 10:13:50] DONE: F1 | DE | run 7 | best=1.147774e+06 | time=0.127s
[2026-03-13 10:13:50] DONE: F1 | DE | run 8 | best=1.052234e+06 | time=0.128s
[2026-03-13 10:13:51] DONE: F1 | DE | run 9 | best=3.048793e+03 | time=0.126s
[2026-03-13 10:13:51] DONE: F1 | DE | run 10 | best=1.882679e+07 | time=0.127s
[2026-03-13 10:13:51] DONE: F1 | DE | run 11 | best=1.439608e+04 | time=0.130s
[2026-03-13 10:13:51] DONE: F1 | DE | run 12 | best=1.488329e+05 | time=0.126s
[2026-03-13 10:13:52] DONE: F1 | DE | run 13 | best=5.411096e+07 | time=0.128s
[2026-03-13 10:13:52] DONE: F1 | DE | run 14 | best=4.803252e+06 | time=0.129s
[2026-03-13 10:13:52] DONE: F1 | DE | run 15 | best=4.401125e+02 | time=0.128s
[2026-03-13 10:13:52] DONE: F1 | DE | run 16 | best=1.341925e+06 | time=0.126s
[2026-03-13 10:13:53] DONE: F1 | DE | run 17 | best=3.112374e+03 | time=0.127s
[2026-03-13 10:13:53] DONE: F1 | DE | run 18 | best=3.863950e+07 | time=0.126s
[2026-03-13 10:13:53] DONE: F1 | DE | run 19 | best=1.330306e+04 | time=0.128s
[2026-03-13 10:13:53] DONE: F1 | DE | run 20 | best=1.728852e+07 | time=0.127s
[2026-03-13 10:13:54] DONE: F1 | DE | run 21 | best=6.051031e+03 | time=0.127s
[2026-03-13 10:13:54] DONE: F1 | DE | run 22 | best=1.482349e+04 | time=0.126s
[2026-03-13 10:13:54] DONE: F1 | DE | run 23 | best=5.606336e+03 | time=0.129s
[2026-03-13 10:13:55] DONE: F1 | DE | run 24 | best=1.737216e+03 | time=0.130s
[2026-03-13 10:13:55] DONE: F1 | DE | run 25 | best=1.113608e+03 | time=0.129s
[2026-03-13 10:13:55] DONE: F1 | DE | run 26 | best=4.777183e+05 | time=0.130s
[2026-03-13 10:13:55] DONE: F1 | DE | run 27 | best=1.418533e+06 | time=0.128s
[2026-03-13 10:13:56] DONE: F1 | DE | run 28 | best=8.953729e+03 | time=0.129s
[2026-03-13 10:13:56] DONE: F1 | DE | run 29 | best=1.036740e+04 | time=0.132s
[2026-03-13 10:13:56] DONE: F1 | DE | run 30 | best=1.789612e+06 | time=0.130s
