[2026-03-15 21:01:32] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_cec2017_formal_high_woa\cec2017_batch_results.mat
[2026-03-15 21:01:32] Entering block: F1 | AE
[2026-03-15 21:01:38] DONE: F1 | AE | run 1 | best=9.349966e+06 | time=5.721s
[2026-03-15 21:01:44] DONE: F1 | AE | run 2 | best=8.358524e+06 | time=5.751s
[2026-03-15 21:01:50] DONE: F1 | AE | run 3 | best=8.864042e+06 | time=5.850s
[2026-03-15 21:01:56] DONE: F1 | AE | run 4 | best=6.420017e+06 | time=5.809s
[2026-03-15 21:02:02] DONE: F1 | AE | run 5 | best=8.893044e+06 | time=5.879s
[2026-03-15 21:02:08] DONE: F1 | AE | run 6 | best=7.845668e+06 | time=5.773s
[2026-03-15 21:02:14] DONE: F1 | AE | run 7 | best=9.580769e+06 | time=5.814s
[2026-03-15 21:02:19] DONE: F1 | AE | run 8 | best=8.596405e+06 | time=5.728s
[2026-03-15 21:02:25] DONE: F1 | AE | run 9 | best=8.445568e+06 | time=5.705s
[2026-03-15 21:02:31] DONE: F1 | AE | run 10 | best=8.177967e+06 | time=5.733s
[2026-03-15 21:02:37] DONE: F1 | AE | run 11 | best=7.582762e+06 | time=5.620s
[2026-03-15 21:02:43] DONE: F1 | AE | run 12 | best=7.181654e+06 | time=5.685s
[2026-03-15 21:02:48] DONE: F1 | AE | run 13 | best=7.237391e+06 | time=5.660s
[2026-03-15 21:02:54] DONE: F1 | AE | run 14 | best=8.648703e+06 | time=5.670s
[2026-03-15 21:03:00] DONE: F1 | AE | run 15 | best=7.170213e+06 | time=5.673s
[2026-03-15 21:03:06] DONE: F1 | AE | run 16 | best=8.853149e+06 | time=5.668s
[2026-03-15 21:03:12] DONE: F1 | AE | run 17 | best=7.951176e+06 | time=5.647s
[2026-03-15 21:03:17] DONE: F1 | AE | run 18 | best=7.484571e+06 | time=5.669s
[2026-03-15 21:03:23] DONE: F1 | AE | run 19 | best=7.628484e+06 | time=5.684s
[2026-03-15 21:03:29] DONE: F1 | AE | run 20 | best=7.025158e+06 | time=5.652s
[2026-03-15 21:03:35] DONE: F1 | AE | run 21 | best=7.416725e+06 | time=5.716s
[2026-03-15 21:03:41] DONE: F1 | AE | run 22 | best=6.870791e+06 | time=5.652s
[2026-03-15 21:03:46] DONE: F1 | AE | run 23 | best=7.816119e+06 | time=5.660s
[2026-03-15 21:03:52] DONE: F1 | AE | run 24 | best=8.029296e+06 | time=5.661s
[2026-03-15 21:03:58] DONE: F1 | AE | run 25 | best=7.341595e+06 | time=5.679s
[2026-03-15 21:04:04] DONE: F1 | AE | run 26 | best=8.080633e+06 | time=5.712s
[2026-03-15 21:04:10] DONE: F1 | AE | run 27 | best=8.244925e+06 | time=5.648s
[2026-03-15 21:04:16] DONE: F1 | AE | run 28 | best=8.104882e+06 | time=5.742s
[2026-03-15 21:04:21] DONE: F1 | AE | run 29 | best=7.825224e+06 | time=5.662s
[2026-03-15 21:04:27] DONE: F1 | AE | run 30 | best=7.496769e+06 | time=5.631s
[2026-03-15 21:04:27] Block finished: F1 | AE | done=30 | failed=0
[2026-03-15 21:04:27] Entering block: F1 | PSO
[2026-03-15 21:04:28] DONE: F1 | PSO | run 1 | best=1.026802e+09 | time=0.723s
[2026-03-15 21:04:29] DONE: F1 | PSO | run 2 | best=2.169156e+03 | time=0.713s
[2026-03-15 21:04:30] DONE: F1 | PSO | run 3 | best=1.184049e+09 | time=0.725s
[2026-03-15 21:04:31] DONE: F1 | PSO | run 4 | best=7.857509e+09 | time=0.732s
[2026-03-15 21:04:32] DONE: F1 | PSO | run 5 | best=8.541179e+02 | time=0.716s
[2026-03-15 21:04:32] DONE: F1 | PSO | run 6 | best=2.615924e+03 | time=0.710s
[2026-03-15 21:04:33] DONE: F1 | PSO | run 7 | best=4.411882e+02 | time=0.716s
[2026-03-15 21:04:34] DONE: F1 | PSO | run 8 | best=1.604920e+09 | time=0.727s
[2026-03-15 21:04:35] DONE: F1 | PSO | run 9 | best=1.026799e+09 | time=0.725s
[2026-03-15 21:04:36] DONE: F1 | PSO | run 10 | best=5.837463e+02 | time=0.704s
[2026-03-15 21:04:37] DONE: F1 | PSO | run 11 | best=2.210855e+09 | time=0.735s
[2026-03-15 21:04:38] DONE: F1 | PSO | run 12 | best=1.375898e+09 | time=0.727s
[2026-03-15 21:04:39] DONE: F1 | PSO | run 13 | best=3.783933e+02 | time=0.711s
[2026-03-15 21:04:39] DONE: F1 | PSO | run 14 | best=9.801544e+03 | time=0.711s
