FuncId,Algorithm,Mean,Std,Best,Median,AvgRuntime,Rank
1,AE,8453196.9739913,884814.217630794,6420017.19144225,8520986.34745716,5.74603869,2
1,DE,5876893.6226405,17213087.8539007,100.649878270454,169517.702916448,1.25091964,1
1,PSO,1270008615.12866,2396701723.23005,441.188180128813,513400985.562894,0.73642642,5
1,GWO,12909348733.5688,1830437686.63947,10012247692.9904,13346595862.3562,1.08284495,6
1,HHO,13021984.2759328,3621256.28819005,5838844.49230671,13871071.7678459,0.91341243,3
1,FAEAE,95497729.9068235,9752900.52642241,74319611.1656177,96680433.3141226,6.52861942,4
3,AE,316.799535806926,1.5958157099042,315.048342314252,316.164369278722,5.85658509,2
3,DE,451.601070571395,288.468188478884,300.000003779662,300.183677758132,1.41469747,3
3,PSO,300.000000000001,2.85477486714462e-13,300,300.000000000001,0.90422221,1
3,GWO,92503.889227007,2315.25004800298,86838.2493521737,92668.4799654167,1.24844393,6
3,HHO,7286.61490920568,1848.25117819389,4536.21546770598,8392.53400465107,1.1112632,5
3,FAEAE,518.426710746852,23.4585006058773,484.746113108343,517.417102300793,6.76668402,4
4,AE,485.220512412262,33.4935226097902,405.622776583814,490.43341718193,5.61585537,2
4,DE,469.380221494063,36.9868760860174,402.862103332461,479.888905059017,1.22392797,1
4,PSO,621.849758654934,208.537639782713,464.117395013356,545.956292883281,0.76238275,5
4,GWO,1205.106505885,210.507750077559,866.346045238723,1230.76133277704,1.06711117,6
4,HHO,520.896382295144,27.585999014615,493.422551794884,516.249017237187,0.88711,4
4,FAEAE,509.637621640451,18.9430665069184,480.438130108989,519.91827536569,6.50224312,3
5,AE,670.551420008759,25.4136864621717,635.209986400923,677.475372283124,5.72748477,5
5,DE,538.693175348772,12.9098268322502,526.069228175358,532.296040252145,1.26995953,1
5,PSO,620.25088939193,38.9653375066419,559.697462775054,619.829184134599,0.76574941,3
5,GWO,825.321142109226,24.2627192354127,790.853300868032,828.901868104451,1.14208146,6
5,HHO,660.816745558247,35.7703462382101,621.669171231382,651.590726502225,0.97326569,4
5,FAEAE,612.816360498943,13.8075519297546,592.976882435769,612.387746585013,6.58163972,2
6,AE,650.936325126372,6.72431052334016,640.615511598339,653.915539288237,6.71260735,6
6,DE,600.104548206361,0.091231829353658,600.003422277575,600.077712006868,1.98576295,1
6,PSO,619.347134406533,8.59516055355513,605.68501609908,618.917014132116,1.6440158,3
6,GWO,650.916878734553,6.51503312455126,640.601707603974,651.169690964269,2.08474525,5
6,HHO,628.874154919555,8.52381792768499,619.497709336838,628.072509235042,1.92632698,4
6,FAEAE,604.374591174913,0.528649744097992,603.586042661719,604.358418698955,7.63221277,2
