FuncId,Algorithm,Mean,Std,Best,Median,AvgRuntime,Rank
1,AE,9790523.36415286,1399962.88249782,7003083.01895972,9860615.17655892,0.58407999,1
1,PSO,1270008938.02075,2396701836.36574,474.653548241809,513401180.01499,0.07432948,4
1,GWO,5520394773.28752,1149414147.58878,3745079492.02875,5764367681.35447,0.11445179,5
1,HHO,117358706.280879,30197448.290004,86437097.1551111,113497345.725858,0.10788587,3
1,WOA,27787955115.8182,8388392853.81229,14846318784.2351,27439991865.5223,0.060523,6
1,FAEAE,109019961.666901,15876737.7844028,80951041.9115591,107710595.246041,0.71501034,2
3,AE,38593.8685271766,8406.48098286636,28290.5949358305,36131.3089520659,0.58883307,3
3,PSO,37737.3819372553,14938.4795826735,15813.8416532419,38408.9298031805,0.08888657,2
3,GWO,90106.0922374826,5761.99563426215,81471.6887843265,91881.1302697739,0.12503992,5
3,HHO,52601.0696936236,6798.09147035686,42763.409939548,52665.016978172,0.11154551,4
3,WOA,277796.982192139,73007.3230239427,146794.492454067,294182.425542333,0.0740318,6
3,FAEAE,17147.9767007286,3862.2380028846,12486.6867218432,16575.1123731527,0.73281998,1
4,AE,501.487901583839,19.6403887939071,472.06191243909,512.27383892189,0.56673325,1
4,PSO,622.000414619493,208.454811071396,464.117395013775,546.643983812136,0.0709776,4
4,GWO,838.63218278942,134.855147977925,682.828790952054,793.643432389711,0.10559691,5
4,HHO,565.065949691378,39.8175226143603,502.905499025418,566.81903487135,0.08917065,3
4,WOA,4814.62364747695,1684.68531874352,3411.26870563596,4301.83347107566,0.05502559,6
4,FAEAE,515.115172693926,27.4715857840838,437.061103101379,523.44603067118,0.69177815,2
5,AE,678.640525603727,31.1979607437734,624.279197782829,674.766636785753,0.57819861,3
5,PSO,620.25088939193,38.9653375066419,559.697462775055,619.829184134599,0.07479314,1
5,GWO,739.10294453198,25.2701602426458,708.082955595198,739.565083059859,0.11368659,5
5,HHO,717.894368890881,38.8587943715658,652.931888932312,725.646433692054,0.09827459,4
5,WOA,896.996982406647,50.3882121488132,818.039652142755,893.069027584699,0.06244809,6
5,FAEAE,649.831675733319,15.2022331769001,627.587326238632,650.526850387755,0.68788989,2
6,AE,663.875775468059,7.20754145968551,651.881539599244,663.734992213072,0.67120235,5
6,PSO,620.443798422141,8.96011381372328,605.92227331182,621.956468214777,0.16735221,2
6,GWO,626.878468986637,5.96245505432523,615.767148255458,625.173712471093,0.20702876,3
6,HHO,657.164747860368,9.63980968242537,636.768465673015,657.251061329096,0.19311624,4
6,WOA,687.345264536231,8.75154350934159,672.970000362875,686.469939051085,0.15583599,6
6,FAEAE,616.919944516115,9.44581246720913,606.553167417131,614.521151257057,0.79906037,1
