FuncId,Algorithm,Mean,Std,Best,Median,AvgRuntime,Rank
1,AE,9870041.11230587,1421525.09576128,7003083.01895972,10129689.4180762,0.59332386,2
1,DE,7755260.19199178,17528683.0182418,179.877104959519,627628.967782874,0.12847689,1
1,PSO,1388414268.96483,2412547360.5396,474.653548241809,513401180.01499,0.07613754,5
1,GWO,5480325962.66415,1085510882.13693,3745079492.02875,5764367681.35447,0.12006214,6
1,HHO,117355184.63383,30201177.7260607,86437097.1551111,113497345.725858,0.10602956,4
1,FAEAE,109241451.57598,15602077.6851092,80951041.9115591,107710595.246041,0.7270964,3
3,AE,38700.0245167067,8392.15396008859,28290.5949358305,36131.3089520659,0.5921675,4
3,DE,28114.826034913,12087.7804267499,13672.1471174138,23931.9158767829,0.14359801,2
3,PSO,35493.2253172788,16588.6224539403,14962.5836489843,37294.5186021588,0.09265207,3
3,GWO,90015.1520997833,5889.08257439967,81471.6887843265,91881.1302697739,0.1288125,6
3,HHO,52493.7377309493,6562.53775858186,42763.409939548,52665.016978172,0.11267105,5
3,FAEAE,17055.4922037339,3955.69595359347,12486.6867218432,16575.1123731527,0.73352128,1
4,AE,499.31886472515,18.8694380223032,472.06191243909,509.24782438356,0.56981951,2
4,DE,496.538155875989,22.6994773867658,469.402187495124,492.006044748473,0.12239326,1
4,PSO,700.272491851865,281.369898717528,464.117395013775,576.07711513886,0.07290531,5
4,GWO,840.127119716705,133.936293155519,682.828790952054,797.27244688249,0.10850684,6
4,HHO,565.706694437235,39.9340354858434,502.905499025418,570.022758600633,0.09205901,4
4,FAEAE,513.208945367679,27.4508312154863,437.061103101379,523.164584943202,0.69151227,3
5,AE,679.006731047261,31.2120370246468,624.279197782829,674.815049366584,0.57640895,4
5,DE,677.556646245801,53.1393979608741,540.529539235749,694.800558981573,0.13063337,3
5,PSO,618.273548560414,39.407710352251,559.697462775055,617.393395586147,0.0764763,1
5,GWO,742.4448156676,24.905777391956,708.082955595198,749.960346884954,0.11731621,6
5,HHO,715.496347207336,37.7643989425278,652.931888932312,722.094686163545,0.09925812,5
5,FAEAE,650.419566141428,15.5255175431639,627.587326238632,650.526850387755,0.6890506,2
6,AE,662.057677144371,7.22397459219635,651.881539599244,661.204251163969,0.66926766,6
6,DE,600.10958757016,0.0869804757786363,600.028151812443,600.077863171694,0.22258536,1
6,PSO,623.450116323292,9.2379035499964,605.92227331182,623.051142331397,0.16907607,3
6,GWO,626.327374959796,6.00680510077303,615.767148255458,625.153358683695,0.20891801,4
6,HHO,658.42189255481,10.5412484324207,636.768465673015,659.19116065772,0.19417523,5
6,FAEAE,616.639241759443,9.21682171960054,606.553167417131,614.521151257057,0.80152244,2
