Scene,ComparedMethod,FAEAE_Mean,Baseline_Mean,pValue,Result,Test
Scene 1,AE,305.89667169431,678.574174261765,3.01985935916215e-11,+,ranksum
Scene 1,PSO,305.89667169431,413.08853267313,5.97055584341916e-05,+,ranksum
Scene 1,GWO,305.89667169431,330.385979083144,1.59640509960384e-07,+,ranksum
Scene 1,HHO,305.89667169431,378.377757257043,2.60151137499636e-08,+,ranksum
Scene 1,WOA,305.89667169431,609.236629897604,4.50432211270532e-11,+,ranksum
Scene 2,AE,310.177815541407,2036.12589995049,3.01985935916215e-11,+,ranksum
Scene 2,PSO,310.177815541407,731.83549098376,5.53286212176435e-08,+,ranksum
Scene 2,GWO,310.177815541407,360.364748134142,2.60985278795585e-10,+,ranksum
Scene 2,HHO,310.177815541407,416.59357479071,5.97055584341916e-05,+,ranksum
Scene 2,WOA,310.177815541407,1278.44053275568,3.01985935916215e-11,+,ranksum
Scene 4,AE,316.300800118549,1631.5387192053,3.01985935916215e-11,+,ranksum
Scene 4,PSO,316.300800118549,1386.79955395067,3.01985935916215e-11,+,ranksum
Scene 4,GWO,316.300800118549,605.173108442133,1.61322504446979e-10,+,ranksum
Scene 4,HHO,316.300800118549,756.647265322646,3.68972585398101e-11,+,ranksum
Scene 4,WOA,316.300800118549,1563.6120014268,3.01985935916215e-11,+,ranksum
