[2026-03-16 16:31:17] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_6alg_formal_safe\uav_comparison_results.mat
[2026-03-16 16:31:17] Entering block: Scene 1 | AE
[2026-03-16 16:31:25] DONE: Scene 1 | AE | run 1 | best=1122.125319 | time=7.676s
[2026-03-16 16:31:32] DONE: Scene 1 | AE | run 2 | best=444.214333 | time=6.973s
[2026-03-16 16:31:39] DONE: Scene 1 | AE | run 3 | best=501.644040 | time=6.950s
[2026-03-16 16:31:46] DONE: Scene 1 | AE | run 4 | best=358.263218 | time=7.000s
[2026-03-16 16:31:53] DONE: Scene 1 | AE | run 5 | best=351.008455 | time=7.023s
[2026-03-16 16:32:00] DONE: Scene 1 | AE | run 6 | best=338.300207 | time=7.009s
[2026-03-16 16:32:07] DONE: Scene 1 | AE | run 7 | best=1419.123169 | time=6.908s
[2026-03-16 16:32:14] DONE: Scene 1 | AE | run 8 | best=380.279439 | time=6.879s
[2026-03-16 16:32:21] DONE: Scene 1 | AE | run 9 | best=464.009192 | time=6.820s
[2026-03-16 16:32:28] DONE: Scene 1 | AE | run 10 | best=371.537448 | time=6.833s
[2026-03-16 16:32:34] DONE: Scene 1 | AE | run 11 | best=393.460346 | time=6.922s
[2026-03-16 16:32:41] DONE: Scene 1 | AE | run 12 | best=404.547795 | time=6.839s
[2026-03-16 16:32:48] DONE: Scene 1 | AE | run 13 | best=813.863809 | time=6.803s
[2026-03-16 16:32:55] DONE: Scene 1 | AE | run 14 | best=358.821914 | time=6.850s
[2026-03-16 16:33:02] DONE: Scene 1 | AE | run 15 | best=416.895251 | time=6.805s
[2026-03-16 16:33:09] DONE: Scene 1 | AE | run 16 | best=356.375668 | time=6.959s
[2026-03-16 16:33:16] DONE: Scene 1 | AE | run 17 | best=849.978878 | time=6.891s
[2026-03-16 16:33:23] DONE: Scene 1 | AE | run 18 | best=602.197450 | time=6.967s
[2026-03-16 16:33:30] DONE: Scene 1 | AE | run 19 | best=1023.931472 | time=6.932s
[2026-03-16 16:33:37] DONE: Scene 1 | AE | run 20 | best=329.698373 | time=7.002s
[2026-03-16 16:33:44] DONE: Scene 1 | AE | run 21 | best=325.559958 | time=6.814s
[2026-03-16 16:33:51] DONE: Scene 1 | AE | run 22 | best=439.318412 | time=6.801s
[2026-03-16 16:34:46] Resuming batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_6alg_formal_safe\uav_comparison_results.mat
[2026-03-16 16:34:46] Entering block: Scene 1 | AE
[2026-03-16 16:34:53] DONE: Scene 1 | AE | run 23 | best=543.682006 | time=7.852s
[2026-03-16 16:35:01] DONE: Scene 1 | AE | run 24 | best=398.793948 | time=7.023s
[2026-03-16 16:35:07] DONE: Scene 1 | AE | run 25 | best=1205.116345 | time=6.931s
[2026-03-16 16:35:14] DONE: Scene 1 | AE | run 26 | best=1168.684548 | time=6.847s
[2026-03-16 16:35:21] DONE: Scene 1 | AE | run 27 | best=1924.608157 | time=6.901s
[2026-03-16 16:35:28] DONE: Scene 1 | AE | run 28 | best=1304.244972 | time=6.861s
[2026-03-16 16:35:35] DONE: Scene 1 | AE | run 29 | best=1389.701973 | time=6.829s
[2026-03-16 16:35:42] DONE: Scene 1 | AE | run 30 | best=357.239131 | time=6.817s
[2026-03-16 16:35:42] Block finished: Scene 1 | AE | done=30 | failed=0
[2026-03-16 16:35:42] Entering block: Scene 1 | PSO
[2026-03-16 16:35:49] DONE: Scene 1 | PSO | run 1 | best=345.570433 | time=6.858s
[2026-03-16 16:35:56] DONE: Scene 1 | PSO | run 2 | best=467.971958 | time=6.740s
[2026-03-16 16:36:02] DONE: Scene 1 | PSO | run 3 | best=323.641203 | time=6.711s
[2026-03-16 16:36:09] DONE: Scene 1 | PSO | run 4 | best=455.851752 | time=6.657s
[2026-03-16 16:36:16] DONE: Scene 1 | PSO | run 5 | best=369.772570 | time=6.664s
[2026-03-16 16:36:22] DONE: Scene 1 | PSO | run 6 | best=362.172502 | time=6.634s
[2026-03-16 16:36:29] DONE: Scene 1 | PSO | run 7 | best=378.661616 | time=6.722s
[2026-03-16 16:36:36] DONE: Scene 1 | PSO | run 8 | best=327.094193 | time=6.645s
[2026-03-16 16:36:43] DONE: Scene 1 | PSO | run 9 | best=1026.586260 | time=6.730s
[2026-03-16 16:36:50] DONE: Scene 1 | PSO | run 10 | best=346.637509 | time=6.830s
[2026-03-16 16:36:56] DONE: Scene 1 | PSO | run 11 | best=581.907599 | time=6.646s
[2026-03-16 16:37:03] DONE: Scene 1 | PSO | run 12 | best=350.154194 | time=6.647s
[2026-03-16 16:37:10] DONE: Scene 1 | PSO | run 13 | best=309.728223 | time=6.628s
[2026-03-16 16:37:16] DONE: Scene 1 | PSO | run 14 | best=316.358038 | time=6.611s
[2026-03-16 16:37:23] DONE: Scene 1 | PSO | run 15 | best=309.200938 | time=6.765s
[2026-03-16 16:37:30] DONE: Scene 1 | PSO | run 16 | best=350.563062 | time=6.705s
[2026-03-16 16:37:37] DONE: Scene 1 | PSO | run 17 | best=327.427855 | time=6.630s
[2026-03-16 16:37:43] DONE: Scene 1 | PSO | run 18 | best=273.213812 | time=6.608s
[2026-03-16 16:37:50] DONE: Scene 1 | PSO | run 19 | best=320.699417 | time=6.684s
[2026-03-16 16:37:57] DONE: Scene 1 | PSO | run 20 | best=333.437921 | time=6.643s
[2026-03-16 16:38:03] DONE: Scene 1 | PSO | run 21 | best=286.419272 | time=6.730s
[2026-03-16 16:38:10] DONE: Scene 1 | PSO | run 22 | best=329.287370 | time=6.601s
[2026-03-16 16:38:17] DONE: Scene 1 | PSO | run 23 | best=464.413125 | time=6.616s
[2026-03-16 16:38:23] DONE: Scene 1 | PSO | run 24 | best=296.992318 | time=6.653s
[2026-03-16 16:38:30] DONE: Scene 1 | PSO | run 25 | best=286.653204 | time=6.653s
[2026-03-16 16:38:37] DONE: Scene 1 | PSO | run 26 | best=275.296859 | time=6.615s
[2026-03-16 16:38:43] DONE: Scene 1 | PSO | run 27 | best=1195.496150 | time=6.612s
[2026-03-16 16:38:50] DONE: Scene 1 | PSO | run 28 | best=327.804049 | time=6.626s
[2026-03-16 16:38:57] DONE: Scene 1 | PSO | run 29 | best=329.443503 | time=6.618s
[2026-03-16 16:39:03] DONE: Scene 1 | PSO | run 30 | best=724.199080 | time=6.645s
[2026-03-16 16:39:03] Block finished: Scene 1 | PSO | done=30 | failed=0
[2026-03-16 16:39:03] Entering block: Scene 1 | GWO
[2026-03-16 16:39:10] DONE: Scene 1 | GWO | run 1 | best=350.182886 | time=6.879s
[2026-03-16 16:39:17] DONE: Scene 1 | GWO | run 2 | best=313.614660 | time=6.835s
[2026-03-16 16:39:24] DONE: Scene 1 | GWO | run 3 | best=338.863000 | time=6.909s
[2026-03-16 16:39:31] DONE: Scene 1 | GWO | run 4 | best=330.379770 | time=7.015s
[2026-03-16 16:39:38] DONE: Scene 1 | GWO | run 5 | best=321.295607 | time=6.817s
[2026-03-16 16:39:45] DONE: Scene 1 | GWO | run 6 | best=310.763901 | time=6.853s
[2026-03-16 16:39:52] DONE: Scene 1 | GWO | run 7 | best=334.235310 | time=6.824s
[2026-03-16 16:39:59] DONE: Scene 1 | GWO | run 8 | best=348.559158 | time=6.922s
[2026-03-16 16:40:06] DONE: Scene 1 | GWO | run 9 | best=343.593021 | time=6.830s
[2026-03-16 16:40:13] DONE: Scene 1 | GWO | run 10 | best=322.489830 | time=6.874s
[2026-03-16 16:40:20] DONE: Scene 1 | GWO | run 11 | best=315.427749 | time=6.834s
[2026-03-16 16:40:27] DONE: Scene 1 | GWO | run 12 | best=316.636828 | time=6.844s
[2026-03-16 16:40:34] DONE: Scene 1 | GWO | run 13 | best=315.117055 | time=6.831s
[2026-03-16 16:40:40] DONE: Scene 1 | GWO | run 14 | best=359.917429 | time=6.895s
[2026-03-16 16:40:47] DONE: Scene 1 | GWO | run 15 | best=376.834596 | time=6.852s
[2026-03-16 16:40:54] DONE: Scene 1 | GWO | run 16 | best=338.697446 | time=6.886s
[2026-03-16 16:41:01] DONE: Scene 1 | GWO | run 17 | best=319.350343 | time=6.897s
