Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,WallClock
1,Base-AE,1,20270430,350.177458475534,6.9962974,1,0,7.0523577
1,Base-AE,2,20270431,1042.66169795936,6.7290787,0,4,6.7551202
1,Base-AE,3,20270432,1257.73147498871,6.723096,0,6,6.7480822
1,Base-AE,4,20270433,348.731308771598,6.7392246,1,0,6.764417
1,Base-AE,5,20270434,1211.91711141159,6.6605426,0,5,6.6936864
1,Base-AE,6,20270435,556.716135363302,6.6242015,0,1,6.6482489
1,Base-AE,7,20270436,402.772943102976,6.5768328,1,0,6.6003805
1,Base-AE,8,20270437,520.809295110743,6.680524,0,1,6.7040531
1,Base-AE,9,20270438,982.393351000735,6.7072989,0,4,6.7305969
1,Base-AE,10,20270439,486.985278928461,6.6065962,1,0,6.6299759
1,Base-AE,11,20270440,485.712869393071,6.6166863,1,0,6.6398879
1,Base-AE,12,20270441,393.04970768813,6.7126837,1,0,6.7361683
1,Base-AE,13,20270442,1057.13769720595,6.5413798,0,4,6.5647469
1,Base-AE,14,20270443,1645.58019139419,6.5280031,0,5,6.5509819
1,Base-AE,15,20270444,1247.97422927956,6.6026449,0,4,6.6260863
1,Base-AE,16,20270445,689.109490675027,6.565429,0,2,6.5889627
1,Base-AE,17,20270446,365.475207071906,6.6281753,1,0,6.6522664
1,Base-AE,18,20270447,559.923231683314,6.5815188,1,0,6.6043584
1,Base-AE,19,20270448,1803.01844959068,6.5929305,0,7,6.6166276
1,Base-AE,20,20270449,387.583661125654,6.7322047,1,0,6.7559403
1,Base-AE,21,20270450,1162.03202855472,6.5657901,0,5,6.5891812
1,Base-AE,22,20270451,1266.91774623211,6.6378646,0,4,6.6608889
1,Base-AE,23,20270452,434.723404752314,6.6543594,1,0,6.6773142
1,Base-AE,24,20270453,1151.45377056948,6.6252765,0,4,6.6487968
1,Base-AE,25,20270454,1024.55192635381,6.6631671,0,4,6.6865522
1,Base-AE,26,20270455,978.43249558306,6.5669948,0,3,6.5899676
1,Base-AE,27,20270456,975.034386863896,6.5985709,0,3,6.6223652
1,Base-AE,28,20270457,364.336500957976,6.6292564,1,0,6.6530915
1,Base-AE,29,20270458,471.22772721217,6.5508865,1,0,6.5742896
1,Base-AE,30,20270459,446.969609734589,6.5690339,1,0,6.5923981
1,AE+Init,1,20270530,304.140637565966,6.6897422,1,0,6.9845537
1,AE+Init,2,20270531,303.979488179954,6.6254599,1,0,6.8595199
1,AE+Init,3,20270532,303.069857640521,6.5443428,1,0,6.771607
1,AE+Init,4,20270533,303.40701740412,6.5658178,1,0,6.827553
1,AE+Init,5,20270534,303.701806511898,6.8644912,1,0,7.1298323
1,AE+Init,6,20270535,303.221498026767,6.6703179,1,0,6.9049817
1,AE+Init,7,20270536,303.44128158307,6.538338,1,0,6.762296
1,AE+Init,8,20270537,303.633834729747,6.5245208,1,0,6.7443111
1,AE+Init,9,20270538,303.967404342638,6.6570933,1,0,6.8821214
1,AE+Init,10,20270539,302.872873016413,6.5904581,1,0,6.8108871
1,AE+Init,11,20270540,303.300968011895,6.6961319,1,0,6.9207585
1,AE+Init,12,20270541,304.061624753218,6.6556002,1,0,6.8794734
1,AE+Init,13,20270542,303.510195390404,6.6146677,1,0,6.8435818
1,AE+Init,14,20270543,303.968674221911,6.5874326,1,0,6.8077324
1,AE+Init,15,20270544,303.705628388142,6.6365029,1,0,6.8581712
1,AE+Init,16,20270545,304.043877100166,6.5431443,1,0,6.7641624
1,AE+Init,17,20270546,303.584289154658,6.8253889,1,0,7.0517436
1,AE+Init,18,20270547,304.095768014815,6.7574708,1,0,6.9961632
1,AE+Init,19,20270548,304.182356415399,6.5644609,1,0,6.7875156
1,AE+Init,20,20270549,304.037769544622,6.6401348,1,0,6.8595363
1,AE+Init,21,20270550,304.360300367089,6.7005623,1,0,6.9210386
1,AE+Init,22,20270551,303.899808722868,6.7378117,1,0,6.9593713
1,AE+Init,23,20270552,303.634979133019,6.6770768,1,0,6.9002487
1,AE+Init,24,20270553,303.875238899271,6.7087884,1,0,6.9301231
1,AE+Init,25,20270554,302.91012069026,6.7198106,1,0,6.9413527
1,AE+Init,26,20270555,303.663560904913,6.6244862,1,0,6.8429871
1,AE+Init,27,20270556,303.704678094845,6.6572485,1,0,6.8914286
1,AE+Init,28,20270557,302.792144024327,6.608189,1,0,6.8362509
1,AE+Init,29,20270558,303.78293223048,6.6397155,1,0,6.8616331
1,AE+Init,30,20270559,303.460945504879,6.7142468,1,0,6.9331689
1,AE+Init+AOS,1,20270630,302.143920553212,6.6612927,1,0,6.8850419
1,AE+Init+AOS,2,20270631,301.664396925089,6.578704,1,0,6.8038675
1,AE+Init+AOS,3,20270632,303.887121352208,6.6331845,1,0,6.8549537
1,AE+Init+AOS,4,20270633,302.05550336032,6.7127845,1,0,6.9859119
1,AE+Init+AOS,5,20270634,302.405325908371,6.6171834,1,0,6.8472037
1,AE+Init+AOS,6,20270635,302.637715044494,6.635408,1,0,6.8544085
1,AE+Init+AOS,7,20270636,301.4098290348,6.6111184,1,0,6.8331293
1,AE+Init+AOS,8,20270637,302.305794854707,6.7254556,1,0,6.9443785
1,AE+Init+AOS,9,20270638,302.954637310472,6.5631109,1,0,6.7820003
1,AE+Init+AOS,10,20270639,299.35364609971,6.6122035,1,0,6.8313283
1,AE+Init+AOS,11,20270640,301.997425535287,6.67586,1,0,6.8974884
1,AE+Init+AOS,12,20270641,301.696892455963,6.6956479,1,0,6.9161421
1,AE+Init+AOS,13,20270642,302.030439938139,6.6606925,1,0,6.8787211
1,AE+Init+AOS,14,20270643,304.003342308716,6.7307573,1,0,6.9548656
1,AE+Init+AOS,15,20270644,301.08476605691,6.7003457,1,0,6.9250523
1,AE+Init+AOS,16,20270645,302.751449496659,6.6737557,1,0,6.8938937
1,AE+Init+AOS,17,20270646,302.291917834708,6.6710691,1,0,6.8907799
1,AE+Init+AOS,18,20270647,303.035966186064,6.5746181,1,0,6.7934279
1,AE+Init+AOS,19,20270648,304.646075056841,6.5688243,1,0,6.7885306
1,AE+Init+AOS,20,20270649,302.64249555112,6.6419977,1,0,6.8617472
1,AE+Init+AOS,21,20270650,303.173306541425,6.6650419,1,0,6.8840244
1,AE+Init+AOS,22,20270651,304.194791432098,6.6670164,1,0,6.8856549
1,AE+Init+AOS,23,20270652,302.139634783937,6.6407548,1,0,6.8589671
1,AE+Init+AOS,24,20270653,303.563373985363,6.5962283,1,0,6.8144969
1,AE+Init+AOS,25,20270654,302.000541378307,6.626558,1,0,6.8490965
1,AE+Init+AOS,26,20270655,303.192621700871,6.663978,1,0,6.8855255
1,AE+Init+AOS,27,20270656,303.894608817993,6.6047846,1,0,6.8284157
