Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,WallClock
1,Base-AE,1,20270430,350.177458475534,7.6750542,1,0,7.7879599
1,Base-AE,2,20270431,1042.66169795936,7.4100777,0,4,7.442372
1,Base-AE,3,20270432,1257.73147498871,7.2574414,0,6,7.2900268
1,Base-AE,4,20270433,348.731308771598,7.1758258,1,0,7.2028636
1,Base-AE,5,20270434,1211.91711141159,7.2404781,0,5,7.2779236
1,Base-AE,6,20270435,556.716135363302,7.0838796,0,1,7.1163577
1,Base-AE,7,20270436,402.772943102976,7.1392564,1,0,7.1644952
1,Base-AE,8,20270437,520.809295110743,7.2207192,0,1,7.2456538
1,Base-AE,9,20270438,982.393351000735,7.1176498,0,4,7.1426037
1,Base-AE,10,20270439,486.985278928461,7.1012019,1,0,7.1261403
1,Base-AE,11,20270440,485.712869393071,7.08343,1,0,7.1083031
1,Base-AE,12,20270441,393.04970768813,7.172638,1,0,7.1967307
1,Base-AE,13,20270442,1057.13769720595,7.2818087,0,4,7.3071002
1,Base-AE,14,20270443,1645.58019139419,7.1150246,0,5,7.1396253
1,Base-AE,15,20270444,1247.97422927956,7.0633344,0,4,7.0882761
1,Base-AE,16,20270445,689.109490675027,7.1651479,0,2,7.1901803
1,Base-AE,17,20270446,365.475207071906,7.1968135,1,0,7.2216776
1,Base-AE,18,20270447,559.923231683314,8.0803557,1,0,8.1071706
1,Base-AE,19,20270448,1803.01844959068,7.1272797,0,7,7.1549611
1,Base-AE,20,20270449,387.583661125654,6.9439049,1,0,6.9678262
1,Base-AE,21,20270450,1162.03202855472,6.8315526,0,5,6.8555328
1,Base-AE,22,20270451,1266.91774623211,6.8622749,0,4,6.887175
1,Base-AE,23,20270452,434.723404752314,6.8479074,1,0,6.8721051
1,Base-AE,24,20270453,1151.45377056948,6.9177944,0,4,6.9421082
1,Base-AE,25,20270454,1024.55192635381,6.8619301,0,4,6.8857336
1,Base-AE,26,20270455,978.43249558306,7.2066504,0,3,7.2304495
1,Base-AE,27,20270456,975.034386863896,6.8039717,0,3,6.828762
1,Base-AE,28,20270457,364.336500957976,6.8980729,1,0,6.9226131
1,Base-AE,29,20270458,471.22772721217,6.8377303,1,0,6.8620296
1,Base-AE,30,20270459,446.969609734589,6.7900094,1,0,6.8140668
1,AE+Init,1,20270530,304.140637565966,6.8025858,1,0,7.0969506
