Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,WallClock
1,AE,1,20261317,289.654917949636,6.8427226,1,0,6.8427226
1,AE,2,20261318,292.011877181693,6.7582898,1,0,6.7582898
1,AE,3,20261319,292.112086939472,6.7889504,1,0,6.7889504
1,AE,4,20261320,288.426318893318,6.7714685,1,0,6.7714685
1,AE,5,20261321,294.822038787005,6.8259534,1,0,6.8259534
1,AE,6,20261322,288.843050253681,6.7692668,1,0,6.7692668
1,AE,7,20261323,293.127727822296,6.945779,1,0,6.945779
1,AE,8,20261324,290.015292033415,6.7497158,1,0,6.7497158
1,AE,9,20261325,291.807158296886,6.8604973,1,0,6.8604973
1,AE,10,20261326,290.922610861546,7.0004864,1,0,7.0004864
1,AE,11,20261327,294.714740868395,7.0931031,1,0,7.0931031
1,AE,12,20261328,292.297466106893,6.976195,1,0,6.976195
1,AE,13,20261329,298.015028365842,7.0558233,1,0,7.0558233
1,AE,14,20261330,295.543961176111,6.9033933,1,0,6.9033933
1,AE,15,20261331,290.919283407759,6.8617152,1,0,6.8617152
1,AE,16,20261332,295.306942601587,6.7421695,1,0,6.7421695
1,AE,17,20261333,293.614372899489,6.8204269,1,0,6.8204269
1,AE,18,20261334,294.523433959513,6.7736824,1,0,6.7736824
1,AE,19,20261335,289.769552605837,6.7300489,1,0,6.7300489
1,AE,20,20261336,292.525395213021,6.6639167,1,0,6.6639167
1,AE,21,20261337,285.183533450997,6.6817944,1,0,6.6817944
1,AE,22,20261338,285.587730929021,6.7375053,1,0,6.7375053
1,AE,23,20261339,297.402355000433,6.7377824,1,0,6.7377824
1,AE,24,20261340,292.728965141686,6.7750578,1,0,6.7750578
1,AE,25,20261341,283.623863990965,6.7028231,1,0,6.7028231
1,AE,26,20261342,287.57556399997,6.730373,1,0,6.730373
1,AE,27,20261343,291.836182945621,6.7351332,1,0,6.7351332
1,AE,28,20261344,289.579111613291,6.7194314,1,0,6.7194314
1,AE,29,20261345,288.594976389613,6.6907019,1,0,6.6907019
1,AE,30,20261346,290.398010908698,6.7445646,1,0,6.7445646
1,PSO,1,20261317,282.810546829395,6.5590089,1,0,6.5590089
1,PSO,2,20261318,278.877300480656,6.5599655,1,3.81916720471054e-14,6.5599655
1,PSO,3,20261319,281.685637441064,6.6401954,1,0,6.6401954
1,PSO,4,20261320,283.65821223047,6.6023861,1,1.59872115546023e-14,6.6023861
1,PSO,5,20261321,281.005786723707,6.5779339,1,0,6.5779339
1,PSO,6,20261322,282.053795021677,6.5693159,1,0,6.5693159
1,PSO,7,20261323,281.646469935724,6.6373829,1,0,6.6373829
1,PSO,8,20261324,283.384266682905,6.6823978,1,1.59872115546023e-14,6.6823978
1,PSO,9,20261325,281.901179026913,6.690805,1,3.81916720471054e-14,6.690805
1,PSO,10,20261326,282.657288691098,6.6699436,1,1.59872115546023e-14,6.6699436
1,PSO,11,20261327,282.108848990511,6.7282457,1,3.81916720471054e-14,6.7282457
1,PSO,12,20261328,291.427165260288,6.591433,1,0,6.591433
1,PSO,13,20261329,282.145454059668,6.5720875,1,0,6.5720875
1,PSO,14,20261330,282.293057846511,6.5590735,1,0,6.5590735
1,PSO,15,20261331,282.609381445048,6.5509471,1,0,6.5509471
1,PSO,16,20261332,330.649537129734,6.6949615,1,0,6.6949615
1,PSO,17,20261333,281.596240980433,6.548457,1,0,6.548457
1,PSO,18,20261334,282.170127153176,6.6516389,1,0,6.6516389
1,PSO,19,20261335,281.356068905734,6.6797538,1,1.59872115546023e-14,6.6797538
1,PSO,20,20261336,312.654791743042,6.8869776,1,0,6.8869776
1,PSO,21,20261337,282.703398755447,6.8655394,1,0,6.8655394
1,PSO,22,20261338,281.923310637251,6.8638043,1,0,6.8638043
1,PSO,23,20261339,286.826980600596,6.8072801,1,0,6.8072801
1,PSO,24,20261340,291.873583682442,7.1568959,1,0,7.1568959
1,PSO,25,20261341,282.554495199748,7.6095596,1,1.59872115546023e-14,7.6095596
1,PSO,26,20261342,282.392549499499,8.0156642,1,0,8.0156642
1,PSO,27,20261343,282.463324702693,7.5892474,1,0,7.5892474
1,PSO,28,20261344,280.344248104422,7.750075,1,0,7.750075
1,PSO,29,20261345,281.545169947773,7.4446879,1,1.59872115546023e-14,7.4446879
1,PSO,30,20261346,282.431603888524,7.8920219,1,0,7.8920219
1,GWO,1,20261317,392.012837756139,7.3501185,1,0,7.3501185
1,GWO,2,20261318,314.801605544364,6.8675425,1,0,6.8675425
1,GWO,3,20261319,308.090158024964,6.976479,1,0,6.976479
1,GWO,4,20261320,334.939055869883,6.8722411,1,0,6.8722411
1,GWO,5,20261321,328.235955793711,6.780993,1,0,6.780993
1,GWO,6,20261322,329.661625315129,6.768308,1,0,6.768308
1,GWO,7,20261323,331.89865041383,6.8346898,1,0,6.8346898
1,GWO,8,20261324,326.888851790758,6.8209985,1,0,6.8209985
1,GWO,9,20261325,318.823164672189,6.7583718,1,0,6.7583718
1,GWO,10,20261326,314.322373719033,6.857026,1,0,6.857026
1,GWO,11,20261327,324.170457370231,6.7628006,1,0,6.7628006
1,GWO,12,20261328,350.789081460366,6.7791844,1,0,6.7791844
1,GWO,13,20261329,324.042444739255,6.8568539,1,0,6.8568539
1,GWO,14,20261330,330.485814725993,6.7884819,1,0,6.7884819
1,GWO,15,20261331,330.31732950098,6.7400696,1,0,6.7400696
1,GWO,16,20261332,343.348082274943,6.8964129,1,0,6.8964129
1,GWO,17,20261333,352.73348237185,6.7872084,1,0,6.7872084
1,GWO,18,20261334,327.962022684567,6.8065205,1,0,6.8065205
1,GWO,19,20261335,395.975273340885,6.7797317,1,0,6.7797317
1,GWO,20,20261336,309.479543241364,6.7887651,1,0,6.7887651
1,GWO,21,20261337,320.424830768701,6.8912434,1,0,6.8912434
1,GWO,22,20261338,319.963604292127,6.785584,1,0,6.785584
1,GWO,23,20261339,342.837032773143,6.7766168,1,0,6.7766168
1,GWO,24,20261340,347.971810966114,6.8535696,1,0,6.8535696
1,GWO,25,20261341,329.952455552016,6.8504145,1,0,6.8504145
1,GWO,26,20261342,312.768908799031,6.8163406,1,0,6.8163406
1,GWO,27,20261343,317.741684435453,6.7707084,1,0,6.7707084
1,GWO,28,20261344,324.868278272837,6.7931758,1,0,6.7931758
1,GWO,29,20261345,315.396047889371,6.773833,1,0,6.773833
1,GWO,30,20261346,356.020669185816,6.8531805,1,0,6.8531805
