Scene,ComparedMethod,FAEAE_Mean,Baseline_Mean,pValue,Result,Test
Scene 1,AE,305.89667169431,291.38278501979,9.75550113457638e-10,-,ranksum
Scene 1,PSO,305.89667169431,285.458327386538,4.18250049245683e-09,-,ranksum
Scene 1,GWO,305.89667169431,332.564104451501,4.68563195971611e-08,+,ranksum
Scene 1,HHO,305.89667169431,310.978433286096,0.000620265365203973,+,ranksum
Scene 1,WOA,305.89667169431,334.59453898854,0.0635326507348074,≈,ranksum
Scene 2,AE,310.177815541407,1299.2322616049,4.31061229997227e-08,+,ranksum
Scene 2,PSO,310.177815541407,664.408010585454,5.46203286212241e-06,+,ranksum
Scene 2,GWO,310.177815541407,332.581854460489,1.25408392070442e-07,+,ranksum
Scene 2,HHO,310.177815541407,394.017785806664,3.96476535591874e-08,+,ranksum
Scene 2,WOA,310.177815541407,779.663470324911,3.01985935916215e-11,+,ranksum
Scene 4,AE,316.300800118549,2153.8245715348,3.01985935916215e-11,+,ranksum
Scene 4,PSO,316.300800118549,1129.46847434805,2.15439927669119e-10,+,ranksum
Scene 4,GWO,316.300800118549,526.506494554821,8.99340602701488e-11,+,ranksum
Scene 4,HHO,316.300800118549,925.737357935964,3.01985935916215e-11,+,ranksum
Scene 4,WOA,316.300800118549,1486.20900200556,3.01985935916215e-11,+,ranksum
