[2026-03-22 16:52:16] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_comparison_formal_20260322_165216\fair_init\uav_comparison_results.mat
[2026-03-22 16:52:16] Entering block: Scene 1 | AE
[2026-03-22 16:52:23] DONE: Scene 1 | AE | run 1 | best=289.654918 | time=6.939s
[2026-03-22 16:52:30] DONE: Scene 1 | AE | run 2 | best=292.011877 | time=6.853s
[2026-03-22 16:52:37] DONE: Scene 1 | AE | run 3 | best=292.112087 | time=6.884s
[2026-03-22 16:52:43] DONE: Scene 1 | AE | run 4 | best=288.426319 | time=6.865s
[2026-03-22 16:52:50] DONE: Scene 1 | AE | run 5 | best=294.822039 | time=6.922s
[2026-03-22 16:52:57] DONE: Scene 1 | AE | run 6 | best=288.843050 | time=6.864s
[2026-03-22 16:53:04] DONE: Scene 1 | AE | run 7 | best=293.127728 | time=7.039s
[2026-03-22 16:53:11] DONE: Scene 1 | AE | run 8 | best=290.015292 | time=6.841s
[2026-03-22 16:53:18] DONE: Scene 1 | AE | run 9 | best=291.807158 | time=6.953s
[2026-03-22 16:53:25] DONE: Scene 1 | AE | run 10 | best=290.922611 | time=7.094s
[2026-03-22 16:53:33] DONE: Scene 1 | AE | run 11 | best=294.714741 | time=7.185s
[2026-03-22 16:53:40] DONE: Scene 1 | AE | run 12 | best=292.297466 | time=7.077s
[2026-03-22 16:53:47] DONE: Scene 1 | AE | run 13 | best=298.015028 | time=7.149s
[2026-03-22 16:53:54] DONE: Scene 1 | AE | run 14 | best=295.543961 | time=7.002s
[2026-03-22 16:54:01] DONE: Scene 1 | AE | run 15 | best=290.919283 | time=6.954s
[2026-03-22 16:54:08] DONE: Scene 1 | AE | run 16 | best=295.306943 | time=6.837s
[2026-03-22 16:54:15] DONE: Scene 1 | AE | run 17 | best=293.614373 | time=6.914s
[2026-03-22 16:54:22] DONE: Scene 1 | AE | run 18 | best=294.523434 | time=6.867s
[2026-03-22 16:54:28] DONE: Scene 1 | AE | run 19 | best=289.769553 | time=6.822s
[2026-03-22 16:54:35] DONE: Scene 1 | AE | run 20 | best=292.525395 | time=6.760s
[2026-03-22 16:54:42] DONE: Scene 1 | AE | run 21 | best=285.183533 | time=6.776s
[2026-03-22 16:54:49] DONE: Scene 1 | AE | run 22 | best=285.587731 | time=6.829s
[2026-03-22 16:54:56] DONE: Scene 1 | AE | run 23 | best=297.402355 | time=6.829s
[2026-03-22 16:55:03] DONE: Scene 1 | AE | run 24 | best=292.728965 | time=6.867s
[2026-03-22 16:55:10] DONE: Scene 1 | AE | run 25 | best=283.623864 | time=6.795s
[2026-03-22 16:55:16] DONE: Scene 1 | AE | run 26 | best=287.575564 | time=6.822s
[2026-03-22 16:55:23] DONE: Scene 1 | AE | run 27 | best=291.836183 | time=6.828s
[2026-03-22 16:55:30] DONE: Scene 1 | AE | run 28 | best=289.579112 | time=6.811s
[2026-03-22 16:55:37] DONE: Scene 1 | AE | run 29 | best=288.594976 | time=6.783s
[2026-03-22 16:55:44] DONE: Scene 1 | AE | run 30 | best=290.398011 | time=6.836s
[2026-03-22 16:55:44] Block finished: Scene 1 | AE | done=30 | failed=0
[2026-03-22 16:55:44] Entering block: Scene 1 | PSO
[2026-03-22 16:55:50] DONE: Scene 1 | PSO | run 1 | best=282.810547 | time=6.652s
[2026-03-22 16:55:57] DONE: Scene 1 | PSO | run 2 | best=278.877300 | time=6.652s
[2026-03-22 16:56:04] DONE: Scene 1 | PSO | run 3 | best=281.685637 | time=6.733s
[2026-03-22 16:56:11] DONE: Scene 1 | PSO | run 4 | best=283.658212 | time=6.694s
[2026-03-22 16:56:17] DONE: Scene 1 | PSO | run 5 | best=281.005787 | time=6.671s
[2026-03-22 16:56:24] DONE: Scene 1 | PSO | run 6 | best=282.053795 | time=6.661s
[2026-03-22 16:56:31] DONE: Scene 1 | PSO | run 7 | best=281.646470 | time=6.729s
[2026-03-22 16:56:38] DONE: Scene 1 | PSO | run 8 | best=283.384267 | time=6.775s
[2026-03-22 16:56:44] DONE: Scene 1 | PSO | run 9 | best=281.901179 | time=6.782s
[2026-03-22 16:56:51] DONE: Scene 1 | PSO | run 10 | best=282.657289 | time=6.761s
[2026-03-22 16:56:58] DONE: Scene 1 | PSO | run 11 | best=282.108849 | time=6.821s
[2026-03-22 16:57:05] DONE: Scene 1 | PSO | run 12 | best=291.427165 | time=6.684s
[2026-03-22 16:57:12] DONE: Scene 1 | PSO | run 13 | best=282.145454 | time=6.664s
[2026-03-22 16:57:18] DONE: Scene 1 | PSO | run 14 | best=282.293058 | time=6.651s
[2026-03-22 16:57:25] DONE: Scene 1 | PSO | run 15 | best=282.609381 | time=6.643s
[2026-03-22 16:57:32] DONE: Scene 1 | PSO | run 16 | best=330.649537 | time=6.787s
[2026-03-22 16:57:39] DONE: Scene 1 | PSO | run 17 | best=281.596241 | time=6.639s
[2026-03-22 16:57:45] DONE: Scene 1 | PSO | run 18 | best=282.170127 | time=6.745s
[2026-03-22 16:57:52] DONE: Scene 1 | PSO | run 19 | best=281.356069 | time=6.774s
[2026-03-22 16:57:59] DONE: Scene 1 | PSO | run 20 | best=312.654792 | time=6.983s
[2026-03-22 16:58:06] DONE: Scene 1 | PSO | run 21 | best=282.703399 | time=6.959s
[2026-03-22 16:58:13] DONE: Scene 1 | PSO | run 22 | best=281.923311 | time=6.968s
[2026-03-22 16:58:20] DONE: Scene 1 | PSO | run 23 | best=286.826981 | time=6.904s
[2026-03-22 16:58:27] DONE: Scene 1 | PSO | run 24 | best=291.873584 | time=7.251s
[2026-03-22 16:58:35] DONE: Scene 1 | PSO | run 25 | best=282.554495 | time=7.708s
[2026-03-22 16:58:43] DONE: Scene 1 | PSO | run 26 | best=282.392549 | time=8.130s
[2026-03-22 16:58:51] DONE: Scene 1 | PSO | run 27 | best=282.463325 | time=7.701s
[2026-03-22 16:58:59] DONE: Scene 1 | PSO | run 28 | best=280.344248 | time=7.861s
[2026-03-22 16:59:07] DONE: Scene 1 | PSO | run 29 | best=281.545170 | time=7.560s
[2026-03-22 16:59:15] DONE: Scene 1 | PSO | run 30 | best=282.431604 | time=8.013s
[2026-03-22 16:59:15] Block finished: Scene 1 | PSO | done=30 | failed=0
