Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,WallClock
1,FAEAE,1,20270929,302.929543983577,9.0478502,1,0,9.2943241
1,FAEAE,2,20270930,301.301306284765,8.8452966,1,0,9.0706801
1,FAEAE,3,20270931,302.338866091949,8.8185468,1,0,9.0440187
1,FAEAE,4,20270932,300.418050823015,8.7485319,1,0,8.9761287
1,FAEAE,5,20270933,303.56372033823,8.8878831,1,0,9.1222132
1,FAEAE,6,20270934,301.463475233046,8.7981664,1,0,9.0241667
1,FAEAE,7,20270935,301.825774678552,9.0506038,1,0,9.282462
1,FAEAE,8,20270936,301.803302466238,8.8506028,1,0,9.1217856
1,FAEAE,9,20270937,301.734580800086,9.2010492,1,0,9.4803122
1,FAEAE,10,20270938,301.285320131538,8.9528787,1,0,9.1772436
1,FAEAE,11,20270939,300.418999436703,8.6609913,1,0,8.883959
1,FAEAE,12,20270940,302.250270384771,8.9701555,1,0,9.1989981
1,FAEAE,13,20270941,302.151198971597,8.9387088,1,0,9.1608612
1,FAEAE,14,20270942,303.242017306899,8.9975942,1,0,9.2257954
1,FAEAE,15,20270943,303.147236868312,8.5455308,1,0,8.7675312
1,FAEAE,16,20270944,302.557012448648,8.9356533,1,0,9.1605262
1,FAEAE,17,20270945,301.721678899813,8.5136299,1,0,8.7356691
1,FAEAE,18,20270946,303.633086988542,8.806888,1,0,9.0375522
1,FAEAE,19,20270947,303.125172483411,8.4688514,1,0,8.6953295
1,FAEAE,20,20270948,302.676039161246,8.6262685,1,0,8.8471623
1,FAEAE,21,20270949,302.384986791584,8.693603,1,0,8.9215343
1,FAEAE,22,20270950,302.40419840397,8.962146,1,0,9.1867426
1,FAEAE,23,20270951,302.290357406191,8.8434099,1,0,9.0733313
1,FAEAE,24,20270952,303.8461957235,8.6501458,1,0,8.8728245
1,FAEAE,25,20270953,302.203556359706,8.5753532,1,0,8.7957576
1,FAEAE,26,20270954,301.882831368727,8.6637134,1,0,8.8844825
1,FAEAE,27,20270955,303.592360807705,8.645886,1,0,8.8713488
1,FAEAE,28,20270956,303.575274547891,8.6698866,1,0,8.897199
1,FAEAE,29,20270957,301.318757536146,8.7581713,1,0,8.980961
1,FAEAE,30,20270958,302.576509303155,8.8968749,1,0,9.1186436
2,FAEAE,1,20280929,330.434211394075,7.2793379,1,0,7.557085
2,FAEAE,2,20280930,326.533930598278,8.1439547,1,0,8.4223356
2,FAEAE,3,20280931,321.000986329812,7.9471884,1,0,8.2798177
2,FAEAE,4,20280932,323.559248304498,7.7762944,1,0,8.0545068
2,FAEAE,5,20280933,316.497967755547,7.4560899,1,0,7.7327432
2,FAEAE,6,20280934,317.620055385244,7.6480354,1,0,7.9281785
2,FAEAE,7,20280935,324.540600884349,7.2613739,1,0,7.5378642
2,FAEAE,8,20280936,317.962148294885,9.2829819,1,0,9.5757107
2,FAEAE,9,20280937,312.773901150165,9.1435801,1,0,9.4225385
2,FAEAE,10,20280938,324.226331857515,7.810185,1,0,8.0890189
2,FAEAE,11,20280939,324.077743046261,8.6272256,1,0,8.9077838
2,FAEAE,12,20280940,318.013659794403,7.8295177,1,0,8.1173284
2,FAEAE,13,20280941,325.495271122093,6.9903937,1,0,7.2730884
2,FAEAE,14,20280942,313.55517027183,7.9492345,1,0,8.2241256
2,FAEAE,15,20280943,319.069272277309,7.7905666,1,0,8.0739246
2,FAEAE,16,20280944,309.970621096058,7.9070659,1,0,8.1814628
2,FAEAE,17,20280945,308.879669682704,8.149861,1,0,8.4249896
2,FAEAE,18,20280946,323.371125161201,8.2154091,1,0,8.4940396
2,FAEAE,19,20280947,321.822605370157,7.496624,1,0,7.7696749
2,FAEAE,20,20280948,333.371342197636,7.6148442,1,0,7.8925908
2,FAEAE,21,20280949,336.872187380498,7.6959551,1,0,7.9690512
2,FAEAE,22,20280950,320.265885323408,9.044042,1,0,9.319809
2,FAEAE,23,20280951,318.984782878286,7.5891629,1,0,7.8759386
2,FAEAE,24,20280952,324.878598102781,7.800639,1,0,8.0781437
2,FAEAE,25,20280953,318.558096830968,8.1641108,1,0,8.4426723
2,FAEAE,26,20280954,317.485466879297,8.6292339,1,0,8.9038549
2,FAEAE,27,20280955,323.841302369703,7.1841056,1,0,7.4643088
2,FAEAE,28,20280956,331.273583363477,8.0531447,1,0,8.3279783
2,FAEAE,29,20280957,309.626576824262,7.5611633,1,0,7.8379899
2,FAEAE,30,20280958,316.244793275791,7.7034635,1,0,7.9787303
4,FAEAE,1,20300929,328.30003100089,10.5547961,1,0,10.8614006
4,FAEAE,2,20300930,332.01884099363,10.4972651,1,0,10.8043205
4,FAEAE,3,20300931,330.576487743105,10.4034258,1,0,10.7097759
4,FAEAE,4,20300932,329.588117915976,10.5004663,1,0,10.8087941
4,FAEAE,5,20300933,327.753632051302,10.4705917,1,0,10.7810032
4,FAEAE,6,20300934,331.391145789221,10.5355537,1,0,10.8447964
4,FAEAE,7,20300935,327.591661891323,10.4759581,1,0,10.785722
4,FAEAE,8,20300936,330.986909437708,10.5965968,1,0,10.9039623
4,FAEAE,9,20300937,331.6517633179,10.4261907,1,0,10.7487164
4,FAEAE,10,20300938,329.683305792855,10.532998,1,0,10.8362137
4,FAEAE,11,20300939,330.54252804992,10.5958013,1,0,10.9140922
4,FAEAE,12,20300940,339.005389555903,9.351536,1,0,9.657205
4,FAEAE,13,20300941,328.534288367764,10.1770041,1,0,10.4923382
4,FAEAE,14,20300942,331.618293176581,10.7200232,1,0,11.0341032
4,FAEAE,15,20300943,329.892910495538,10.4750338,1,0,10.7814208
4,FAEAE,16,20300944,330.515052403297,10.3709412,1,0,10.682675
4,FAEAE,17,20300945,329.646958767631,10.480332,1,0,10.7877581
4,FAEAE,18,20300946,331.265655569393,10.41303,1,0,10.7238046
4,FAEAE,19,20300947,331.897099192227,10.4873339,1,0,10.7948265
4,FAEAE,20,20300948,329.385476422376,10.5505693,1,0,10.8574796
4,FAEAE,21,20300949,327.445420913335,10.4341689,1,0,10.7427211
4,FAEAE,22,20300950,333.73145658459,10.6932887,1,0,10.9967494
4,FAEAE,23,20300951,331.933871108169,10.5309589,1,0,10.8369407
4,FAEAE,24,20300952,331.286119970741,10.4735305,1,0,10.7804804
4,FAEAE,25,20300953,331.057277284801,10.3962965,1,0,10.704144
4,FAEAE,26,20300954,331.413534997761,10.4506494,1,0,10.76064
4,FAEAE,27,20300955,330.368751565591,10.4289385,1,0,10.736646
4,FAEAE,28,20300956,326.845343187788,9.5306441,1,0,9.8377318
4,FAEAE,29,20300957,327.050985672793,10.5075243,1,0,10.8380112
4,FAEAE,30,20300958,329.773921158062,10.6378428,1,0,10.9455794
