Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,WallClock
1,AE,1,20270417,292.567834648453,7.8998918,1,0,8.0146102
1,AE,2,20270418,293.551833981559,7.560509,1,0,7.5979249
1,AE,3,20270419,290.090107190558,7.5151571,1,0,7.547875
1,AE,4,20270420,289.211489354718,7.3618851,1,0,7.3910638
1,AE,5,20270421,292.293556483104,7.3176585,1,0,7.3562921
1,AE,6,20270422,295.636816301313,7.396466,1,0,7.4244367
1,AE,7,20270423,290.077278761263,7.3138322,1,0,7.3409109
1,AE,8,20270424,290.25807558931,7.3414035,1,0,7.3678842
1,AE,9,20270425,288.507328348035,8.4087996,1,0,8.4356276
1,AE,10,20270426,293.597094544737,7.2481892,1,0,7.2747664
1,AE,11,20270427,292.552918122504,7.1512139,1,0,7.1781062
1,AE,12,20270428,291.489225764879,7.2193803,1,0,7.2467845
1,AE,13,20270429,294.932250806388,7.1296923,1,0,7.1563808
1,AE,14,20270430,290.906234244466,7.1828541,1,0,7.2088035
1,AE,15,20270431,293.141317646376,7.1592342,1,0,7.1853882
1,AE,16,20270432,296.545835132524,7.2288001,1,0,7.2553354
1,AE,17,20270433,290.761143086365,7.1353113,1,0,7.1621476
1,AE,18,20270434,290.706133859489,7.2422507,1,0,7.2686163
1,AE,19,20270435,296.047214857563,7.159504,1,0,7.1866267
1,AE,20,20270436,292.26249933296,7.2184378,1,0,7.2451576
1,AE,21,20270437,289.54841139187,7.1447948,1,0,7.172558
1,AE,22,20270438,290.255087247883,7.1961825,1,0,7.2224713
1,AE,23,20270439,289.849733545691,7.110568,1,0,7.1372406
1,AE,24,20270440,291.81653353621,7.2176141,1,0,7.2435867
1,AE,25,20270441,292.272585778917,7.1410316,1,0,7.1679319
1,AE,26,20270442,289.640193858449,7.2112967,1,0,7.2385812
1,AE,27,20270443,292.533070899268,7.1662695,1,0,7.1922222
1,AE,28,20270444,292.66454315542,7.1775558,1,0,7.2040068
1,AE,29,20270445,290.55114504253,7.1699372,1,0,7.1966279
1,AE,30,20270446,286.480526875315,7.1392804,1,0,7.1656128
1,PSO,1,20270517,283.214925841338,7.1703403,1,0,7.2053973
1,PSO,2,20270518,282.145674577894,7.1131271,1,0,7.1422477
1,PSO,3,20270519,280.619420889791,7.3249536,1,3.81916720471054e-14,7.3549123
1,PSO,4,20270520,281.829410549572,7.1688386,1,3.81916720471054e-14,7.196872
1,PSO,5,20270521,282.003792653849,7.156971,1,1.59872115546023e-14,7.1907913
1,PSO,6,20270522,280.269210356534,7.1275518,1,0,7.1552515
1,PSO,7,20270523,281.47815136952,7.1418552,1,6.21724893790088e-15,7.1692764
1,PSO,8,20270524,280.497993861899,7.1397141,1,1.59872115546023e-14,7.1669871
1,PSO,9,20270525,282.077671358191,7.1754471,1,3.81916720471054e-14,7.2027823
1,PSO,10,20270526,323.625705189008,7.154034,1,0,7.182575
1,PSO,11,20270527,281.404918203191,7.1668133,1,0,7.1934703
1,PSO,12,20270528,288.058997069081,7.1441042,1,0,7.1708257
1,PSO,13,20270529,286.501046814163,7.0828865,1,3.81916720471054e-14,7.1094308
1,PSO,14,20270530,279.112550180995,7.1944634,1,0,7.2209935
1,PSO,15,20270531,281.956940942149,7.4926731,1,0,7.5201783
1,PSO,16,20270532,281.44949004575,7.6426648,1,3.81916720471054e-14,7.6719479
1,PSO,17,20270533,282.015393947395,7.2055456,1,1.59872115546023e-14,7.2326269
1,PSO,18,20270534,281.892872691826,7.1479086,1,6.21724893790088e-15,7.1761221
1,PSO,19,20270535,280.304237169915,7.1950399,1,0,7.2237814
1,PSO,20,20270536,281.171156295765,7.1252907,1,0,7.1520756
1,PSO,21,20270537,280.996706486256,7.1673708,1,0,7.1944622
1,PSO,22,20270538,288.402812882533,7.106265,1,3.81916720471054e-14,7.1329388
1,PSO,23,20270539,281.814028418561,7.0753475,1,2.22044604925031e-14,7.1037465
1,PSO,24,20270540,282.002244646642,7.0942496,1,0,7.1211312
1,PSO,25,20270541,282.804977054389,7.0724634,1,0,7.0995941
1,PSO,26,20270542,282.709542962061,7.1265738,1,1.59872115546023e-14,7.1532321
1,PSO,27,20270543,288.145645531334,7.1256035,1,3.81916720471054e-14,7.1528553
1,PSO,28,20270544,281.263264179625,7.1738551,1,1.59872115546023e-14,7.2007919
1,PSO,29,20270545,281.417763386846,7.1240414,1,0,7.1508232
1,PSO,30,20270546,281.133707005925,7.0921952,1,1.59872115546023e-14,7.1194218
1,GWO,1,20270617,327.429889521225,7.1427077,1,0,7.1804564
1,GWO,2,20270618,367.928361509281,7.1428192,1,0,7.1728207
1,GWO,3,20270619,318.557655644215,7.100069,1,0,7.1294228
1,GWO,4,20270620,313.173429820849,7.1857235,1,0,7.2141654
