Scene,ComparedMethod,FAEAE_Mean,Baseline_Mean,pValue,Result,Test
Scene 1,AE,302.145698291025,827.450635331632,3.01985935916215e-11,+,ranksum
Scene 1,PSO,302.145698291025,440.897375155032,8.48477290014804e-09,+,ranksum
Scene 1,GWO,302.145698291025,329.549462041455,3.01985935916215e-11,+,ranksum
Scene 1,HHO,302.145698291025,380.051411631159,3.01985935916215e-11,+,ranksum
Scene 1,WOA,302.145698291025,656.330457092136,3.01985935916215e-11,+,ranksum
Scene 2,AE,319.292880853162,2089.3435223299,3.01985935916215e-11,+,ranksum
Scene 2,PSO,319.292880853162,714.595870109887,4.57257043987365e-09,+,ranksum
Scene 2,GWO,319.292880853162,360.490221175367,1.25408392070442e-07,+,ranksum
Scene 2,HHO,319.292880853162,501.481547743824,1.28703829932421e-09,+,ranksum
Scene 2,WOA,319.292880853162,982.665356837395,3.01985935916215e-11,+,ranksum
Scene 4,AE,330.171619066999,1632.26983000615,3.01985935916215e-11,+,ranksum
Scene 4,PSO,330.171619066999,902.417804707703,1.10772007483392e-06,+,ranksum
Scene 4,GWO,330.171619066999,408.172401058725,3.01985935916215e-11,+,ranksum
Scene 4,HHO,330.171619066999,669.980703743459,1.06656777385965e-07,+,ranksum
Scene 4,WOA,330.171619066999,834.74060323119,3.01985935916215e-11,+,ranksum
