Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,WallClock
1,AE,1,20270417,1468.57745699344,7.7235098,0,5,7.9914392
1,AE,2,20270418,494.329040473599,7.2839461,1,0,7.3209986
1,AE,3,20270419,346.763228897492,7.4042046,1,0,7.4375304
1,AE,4,20270420,493.067087908067,7.2508948,1,0,7.2800512
1,AE,5,20270421,583.828089650578,7.1371628,1,0,7.1799577
1,AE,6,20270422,1038.19623299724,7.0723067,0,3,7.0996019
1,AE,7,20270423,755.52238223908,7.0836095,0,1,7.1108156
1,AE,8,20270424,504.427718846911,7.5460884,1,0,7.5719375
1,AE,9,20270425,391.781580112018,6.9449754,1,0,6.9712104
1,AE,10,20270426,1392.7577409365,6.9204153,0,4,6.9453986
1,AE,11,20270427,1048.53358919519,6.9375338,0,4,6.9630751
1,AE,12,20270428,1161.87221817538,7.0294034,0,4,7.0544775
1,AE,13,20270429,676.766604713718,6.9649765,0,1,6.9900378
1,AE,14,20270430,475.518722910236,6.8818296,1,0,6.9074874
1,AE,15,20270431,1591.87471574599,6.9950553,0,6,7.0198836
1,AE,16,20270432,622.716010977839,6.9476036,0,1,6.9726617
1,AE,17,20270433,1323.38770319073,6.9005174,0,5,6.9258069
1,AE,18,20270434,764.42665018158,6.8718418,0,2,6.8987024
1,AE,19,20270435,1633.8794910369,6.8414774,0,5,6.8667033
1,AE,20,20270436,356.011956941322,6.8744366,1,0,6.8992213
1,AE,21,20270437,1027.39094468628,6.8579144,0,4,6.8838201
1,AE,22,20270438,673.054435280106,6.8348838,1,0,6.8600739
1,AE,23,20270439,450.122565782365,6.7754265,1,0,6.8007438
1,AE,24,20270440,396.624346821571,7.0933012,1,0,7.1181121
1,AE,25,20270441,1653.84725714126,6.8065263,0,4,6.8316796
1,AE,26,20270442,382.854279347612,6.8439135,1,0,6.8695878
1,AE,27,20270443,797.253731551463,6.8391554,1,0,6.8649876
1,AE,28,20270444,1132.75127410615,6.8518825,0,4,6.8770594
1,AE,29,20270445,358.922256397139,6.8758763,1,0,6.9028997
1,AE,30,20270446,826.459746711198,6.8349691,0,1,6.859812
1,PSO,1,20270517,299.216273695342,6.7701047,1,0,6.8049846
1,PSO,2,20270518,466.029992271492,6.7199328,0,1,6.7472419
1,PSO,3,20270519,783.022902784837,6.7475458,1,0,6.7753105
1,PSO,4,20270520,1565.40695353942,6.8114379,0,4,6.838118
1,PSO,5,20270521,370.106542667156,6.8174707,1,0,6.8500872
1,PSO,6,20270522,897.360289116368,6.8400494,0,3,6.866492
