[2026-03-16 21:09:28] Starting new batch: F:\MATLAB_Project\FAEAE_matlab\results_uav_scene4_formal_rerun\uav_comparison_results.mat
[2026-03-16 21:09:28] Entering block: Scene 4 | AE
[2026-03-16 21:09:36] DONE: Scene 4 | AE | run 1 | best=1553.980023 | time=7.740s
[2026-03-16 21:09:44] DONE: Scene 4 | AE | run 2 | best=1611.221912 | time=7.809s
[2026-03-16 21:09:52] DONE: Scene 4 | AE | run 3 | best=1492.543404 | time=7.677s
[2026-03-16 21:09:59] DONE: Scene 4 | AE | run 4 | best=1488.660304 | time=7.711s
[2026-03-16 21:10:07] DONE: Scene 4 | AE | run 5 | best=1751.818481 | time=7.642s
[2026-03-16 21:10:15] DONE: Scene 4 | AE | run 6 | best=1799.959816 | time=7.601s
[2026-03-16 21:10:22] DONE: Scene 4 | AE | run 7 | best=1788.575739 | time=7.719s
[2026-03-16 21:10:30] DONE: Scene 4 | AE | run 8 | best=1452.318284 | time=7.702s
[2026-03-16 21:10:38] DONE: Scene 4 | AE | run 9 | best=1737.560566 | time=7.663s
[2026-03-16 21:10:45] DONE: Scene 4 | AE | run 10 | best=1658.458022 | time=7.624s
[2026-03-16 21:10:53] DONE: Scene 4 | AE | run 11 | best=1433.039670 | time=7.624s
[2026-03-16 21:11:01] DONE: Scene 4 | AE | run 12 | best=1687.247798 | time=7.617s
[2026-03-16 21:11:08] DONE: Scene 4 | AE | run 13 | best=1620.540108 | time=7.626s
[2026-03-16 21:11:16] DONE: Scene 4 | AE | run 14 | best=1694.595900 | time=7.652s
[2026-03-16 21:11:24] DONE: Scene 4 | AE | run 15 | best=1373.962745 | time=7.659s
[2026-03-16 21:11:31] DONE: Scene 4 | AE | run 16 | best=1734.498288 | time=7.536s
[2026-03-16 21:11:39] DONE: Scene 4 | AE | run 17 | best=1692.323740 | time=7.562s
[2026-03-16 21:11:47] DONE: Scene 4 | AE | run 18 | best=1666.510460 | time=7.649s
[2026-03-16 21:11:54] DONE: Scene 4 | AE | run 19 | best=1611.635005 | time=7.603s
[2026-03-16 21:12:02] DONE: Scene 4 | AE | run 20 | best=1918.995553 | time=7.607s
[2026-03-16 21:12:10] DONE: Scene 4 | AE | run 21 | best=1732.746432 | time=7.613s
[2026-03-16 21:12:17] DONE: Scene 4 | AE | run 22 | best=1399.651677 | time=7.640s
[2026-03-16 21:12:25] DONE: Scene 4 | AE | run 23 | best=1457.910228 | time=7.612s
[2026-03-16 21:12:32] DONE: Scene 4 | AE | run 24 | best=1606.765201 | time=7.558s
[2026-03-16 21:12:40] DONE: Scene 4 | AE | run 25 | best=1520.746956 | time=7.641s
[2026-03-16 21:12:48] DONE: Scene 4 | AE | run 26 | best=1618.351678 | time=7.589s
[2026-03-16 21:12:55] DONE: Scene 4 | AE | run 27 | best=1575.852193 | time=7.517s
[2026-03-16 21:13:03] DONE: Scene 4 | AE | run 28 | best=1712.143342 | time=7.549s
[2026-03-16 21:13:10] DONE: Scene 4 | AE | run 29 | best=1647.714963 | time=7.636s
[2026-03-16 21:13:18] DONE: Scene 4 | AE | run 30 | best=1905.833088 | time=7.661s
[2026-03-16 21:13:18] Block finished: Scene 4 | AE | done=30 | failed=0
[2026-03-16 21:13:18] Entering block: Scene 4 | PSO
[2026-03-16 21:13:25] DONE: Scene 4 | PSO | run 1 | best=1616.874057 | time=7.291s
[2026-03-16 21:13:33] DONE: Scene 4 | PSO | run 2 | best=1482.358606 | time=7.422s
[2026-03-16 21:13:40] DONE: Scene 4 | PSO | run 3 | best=2528.679428 | time=7.347s
[2026-03-16 21:13:48] DONE: Scene 4 | PSO | run 4 | best=1128.662307 | time=7.260s
[2026-03-16 21:13:55] DONE: Scene 4 | PSO | run 5 | best=1668.038642 | time=7.261s
[2026-03-16 21:14:02] DONE: Scene 4 | PSO | run 6 | best=1962.285416 | time=7.261s
[2026-03-16 21:14:10] DONE: Scene 4 | PSO | run 7 | best=1017.377532 | time=7.379s
[2026-03-16 21:14:17] DONE: Scene 4 | PSO | run 8 | best=669.909253 | time=7.246s
[2026-03-16 21:14:24] DONE: Scene 4 | PSO | run 9 | best=1425.162153 | time=7.301s
[2026-03-16 21:14:32] DONE: Scene 4 | PSO | run 10 | best=2191.827842 | time=7.236s
[2026-03-16 21:14:39] DONE: Scene 4 | PSO | run 11 | best=1337.057265 | time=7.294s
[2026-03-16 21:14:46] DONE: Scene 4 | PSO | run 12 | best=636.317115 | time=7.270s
[2026-03-16 21:14:54] DONE: Scene 4 | PSO | run 13 | best=1716.668951 | time=7.351s
[2026-03-16 21:15:01] DONE: Scene 4 | PSO | run 14 | best=654.550454 | time=7.262s
[2026-03-16 21:15:08] DONE: Scene 4 | PSO | run 15 | best=1323.624106 | time=7.331s
[2026-03-16 21:15:16] DONE: Scene 4 | PSO | run 16 | best=912.163484 | time=7.277s
[2026-03-16 21:15:23] DONE: Scene 4 | PSO | run 17 | best=941.922457 | time=7.307s
[2026-03-16 21:15:30] DONE: Scene 4 | PSO | run 18 | best=649.836292 | time=7.196s
[2026-03-16 21:15:38] DONE: Scene 4 | PSO | run 19 | best=1484.904989 | time=7.334s
[2026-03-16 21:15:45] DONE: Scene 4 | PSO | run 20 | best=2653.057446 | time=7.239s
[2026-03-16 21:15:52] DONE: Scene 4 | PSO | run 21 | best=1067.443561 | time=7.270s
[2026-03-16 21:15:59] DONE: Scene 4 | PSO | run 22 | best=441.456149 | time=7.241s
[2026-03-16 21:16:07] DONE: Scene 4 | PSO | run 23 | best=1938.220838 | time=7.318s
[2026-03-16 21:16:14] DONE: Scene 4 | PSO | run 24 | best=1591.044564 | time=7.269s
[2026-03-16 21:16:21] DONE: Scene 4 | PSO | run 25 | best=1387.857659 | time=7.249s
[2026-03-16 21:16:29] DONE: Scene 4 | PSO | run 26 | best=1429.650790 | time=7.341s
[2026-03-16 21:16:36] DONE: Scene 4 | PSO | run 27 | best=1362.617876 | time=7.236s
[2026-03-16 21:16:43] DONE: Scene 4 | PSO | run 28 | best=2149.486828 | time=7.239s
[2026-03-16 21:16:51] DONE: Scene 4 | PSO | run 29 | best=908.659907 | time=7.303s
[2026-03-16 21:16:58] DONE: Scene 4 | PSO | run 30 | best=1326.270651 | time=7.322s
[2026-03-16 21:16:58] Block finished: Scene 4 | PSO | done=30 | failed=0
[2026-03-16 21:16:58] Entering block: Scene 4 | GWO
[2026-03-16 21:17:06] DONE: Scene 4 | GWO | run 1 | best=346.344634 | time=7.650s
[2026-03-16 21:17:13] DONE: Scene 4 | GWO | run 2 | best=340.258114 | time=7.652s
[2026-03-16 21:17:21] DONE: Scene 4 | GWO | run 3 | best=352.527346 | time=7.625s
[2026-03-16 21:17:29] DONE: Scene 4 | GWO | run 4 | best=346.193497 | time=7.701s
[2026-03-16 21:17:37] DONE: Scene 4 | GWO | run 5 | best=980.085362 | time=7.674s
[2026-03-16 21:17:44] DONE: Scene 4 | GWO | run 6 | best=1059.906930 | time=7.636s
[2026-03-16 21:17:52] DONE: Scene 4 | GWO | run 7 | best=350.971890 | time=7.660s
[2026-03-16 21:18:00] DONE: Scene 4 | GWO | run 8 | best=340.523216 | time=7.721s
[2026-03-16 21:18:07] DONE: Scene 4 | GWO | run 9 | best=351.001682 | time=7.613s
[2026-03-16 21:18:15] DONE: Scene 4 | GWO | run 10 | best=932.931770 | time=7.668s
[2026-03-16 21:18:23] DONE: Scene 4 | GWO | run 11 | best=346.102253 | time=7.615s
[2026-03-16 21:18:31] DONE: Scene 4 | GWO | run 12 | best=1544.650333 | time=7.652s
[2026-03-16 21:18:38] DONE: Scene 4 | GWO | run 13 | best=351.921430 | time=7.694s
[2026-03-16 21:18:46] DONE: Scene 4 | GWO | run 14 | best=349.333025 | time=7.591s
[2026-03-16 21:18:54] DONE: Scene 4 | GWO | run 15 | best=344.557481 | time=7.722s
[2026-03-16 21:19:01] DONE: Scene 4 | GWO | run 16 | best=341.105732 | time=7.695s
[2026-03-16 21:19:09] DONE: Scene 4 | GWO | run 17 | best=355.863985 | time=7.741s
[2026-03-16 21:19:17] DONE: Scene 4 | GWO | run 18 | best=351.945119 | time=7.723s
[2026-03-16 21:19:25] DONE: Scene 4 | GWO | run 19 | best=976.957083 | time=7.691s
[2026-03-16 21:19:33] DONE: Scene 4 | GWO | run 20 | best=345.504936 | time=7.657s
